,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Tottenham Hotspur,Sheffield United,H,60.43,23.74,39.05,1.87,0.95,2.82
Leicester City,Arsenal,H,47.51,25.34,25.54,1.77,1.39,3.16
Burnley,West Ham United,H,41.26,27.11,25.89,1.60,1.36,2.96
Everton,Southampton,A,38.00,29.23,26.09,1.45,1.35,2.80
Newcastle United,AFC Bournemouth,H,36.65,29.32,26.97,1.35,1.33,2.67
AFC Bournemouth,Newcastle United,A,34.03,29.32,26.09,1.33,1.35,2.67
Southampton,Everton,H,32.76,29.23,23.62,1.35,1.45,2.80
West Ham United,Burnley,A,31.63,27.11,20.28,1.36,1.60,2.96
Arsenal,Leicester City,A,27.15,25.34,16.28,1.39,1.77,3.16
Sheffield United,Tottenham Hotspur,A,15.83,23.74,14.88,0.95,1.87,2.82
