,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Michy Batshuayi,CHE,$6300,F,119,0.76,0.76,9.08,1.51,0.00,0.00,2.27,0.76,1.51,1.51,37.06
Sergio Aguero,MCI,$9300,F,827,0.98,0.22,4.57,1.31,0.22,0.44,1.31,0.33,0.33,0.44,19.81
Gabriel Jesus,MCI,$8500,F,908,0.59,0.20,4.36,2.08,0.50,0.40,0.79,0.40,1.49,1.39,21.01
Mohamed Salah,LIV,$9800,M/F,1263,0.64,0.29,4.13,1.85,0.14,1.64,1.64,0.21,0.64,0.64,28.43
Ross Barkley,CHE,$5500,M,339,0.00,0.00,3.98,1.33,0.80,0.80,2.65,0.53,0.53,0.80,51.50
Riyad Mahrez,MCI,$8700,M/F,815,0.55,0.44,3.75,2.10,1.10,3.98,2.98,0.88,0.55,1.21,49.03
Tammy Abraham,CHE,$8300,F,1402,0.71,0.19,3.53,1.54,0.26,0.45,1.03,0.19,0.71,0.83,17.08
Alexandre Lacazette,ARS,$6400,F,767,0.59,0.12,3.52,1.53,0.35,0.82,1.53,0.70,1.88,1.53,25.58
Pedro,CHE,$6100,M/F,312,0.00,0.00,3.46,1.44,2.31,2.31,2.60,0.87,0.58,1.44,38.65
Raul Jimenez,WLV,$6800,F,1651,0.44,0.33,3.43,1.36,0.49,0.65,1.85,0.38,1.09,0.87,27.75
Patrick Cutrone,WLV,$4800,F,295,0.61,0.00,3.36,1.22,0.61,1.83,0.61,0.61,1.53,2.75,18.00
Raheem Sterling,MCI,$9000,M/F,1583,0.63,0.06,3.30,1.19,0.51,2.16,1.76,0.57,1.36,1.25,40.20
Roberto Firmino,LIV,$8200,M/F,1453,0.37,0.25,3.28,1.42,0.12,0.19,1.42,0.62,0.87,0.43,32.95
Kevin De Bruyne,MCI,$11000,M,1472,0.37,0.67,3.24,0.98,0.43,10.39,4.28,0.86,0.98,0.79,55.76
Callum Hudson-Odoi,CHE,$7000,F,365,0.00,0.74,3.21,0.49,0.49,5.42,2.71,0.49,1.73,1.23,46.11
Phil Foden,MCI,$6900,M,141,0.00,0.64,3.19,1.91,0.64,1.91,3.83,2.55,1.91,1.28,51.70
Alex Oxlade-Chamberlain,LIV,$6900,M/F,512,0.18,0.00,3.16,0.53,1.58,2.29,0.70,0.53,1.05,1.05,40.61
Christian Pulisic,CHE,$7300,M/F,1010,0.45,0.18,3.12,1.34,0.27,2.14,1.60,0.36,0.45,1.25,36.36
Diogo Jota,WLV,$5900,M/F,1298,0.21,0.00,2.91,0.97,0.49,1.53,1.11,0.49,1.80,2.63,32.94
Mason Mount,CHE,$7200,M,1551,0.29,0.06,2.90,1.04,0.46,4.53,1.68,0.52,1.10,1.04,36.44
Nicolas Pepe,ARS,$7400,F,1018,0.18,0.18,2.83,0.88,0.53,5.13,1.59,0.97,0.80,1.33,34.83
Pierre-Emerick Aubameyang,ARS,$7900,F,1698,0.64,0.05,2.70,1.06,0.21,2.81,0.74,0.32,0.42,0.53,22.42
Willian,CHE,$9200,M/F,1272,0.28,0.21,2.69,0.85,0.85,5.59,2.26,1.13,0.57,2.26,46.27
Lys Mousset,SHU,$5000,F,711,0.63,0.38,2.66,0.63,0.25,0.25,1.14,0.51,1.77,0.63,16.84
David McGoldrick,SHU,$4500,F,1167,0.00,0.15,2.62,1.23,0.23,0.46,0.85,1.70,1.54,1.16,28.46
Sadio Mane,LIV,$9600,M/F,1418,0.57,0.38,2.60,1.27,0.63,1.40,2.16,0.95,1.78,1.46,32.69
Bernardo Silva,MCI,$8000,M/F,1118,0.40,0.32,2.42,0.89,1.37,3.46,1.85,0.89,1.29,1.29,58.52
Oliver McBurnie,SHU,$4700,F,771,0.35,0.00,2.33,0.93,0.70,0.12,0.35,0.82,1.40,0.58,24.16
