,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Alexandre Lacazette,ARS,$7700,F,318,0.57,0.28,4.25,2.26,0.57,0.28,1.98,0.28,1.13,2.26,29.72
Arnaut Danjuma Groeneveld,BOU,$3700,F,106,0.00,0.00,4.25,1.70,3.40,0.00,0.85,0.00,0.00,1.70,40.75
Theo Walcott,EVE,$4600,M/F,300,0.00,0.30,4.20,1.20,0.90,2.70,0.90,0.60,0.60,1.50,23.10
Michail Antonio,WHU,$6200,M/F,125,0.00,0.00,3.60,2.16,1.44,1.44,1.44,0.00,0.72,1.44,26.64
Ashley Barnes,BUR,$6000,F,803,0.45,0.00,3.36,1.12,0.22,0.34,0.22,0.22,2.02,2.47,16.92
Danny Ings,SOU,$8500,F,665,0.54,0.14,3.25,1.22,0.27,0.68,1.22,0.95,1.08,0.81,17.73
Nicolas Pepe,ARS,$7300,F,729,0.12,0.25,3.21,0.99,0.49,6.30,2.10,1.23,0.62,0.37,33.33
Lucas Moura,TOT,$6200,M/F,399,0.23,0.23,3.16,1.13,0.45,0.23,1.13,0.45,0.45,1.58,29.77
Son Heung-Min,TOT,$8600,M/F,700,0.26,0.39,3.09,1.16,0.39,1.03,1.54,0.64,0.77,0.51,30.73
Lys Mousset,SHU,$7500,F,263,1.03,1.03,3.08,1.03,0.34,0.34,1.71,0.34,2.05,0.68,18.82
James Maddison,LEI,$10300,M,874,0.31,0.21,2.99,0.51,0.31,8.34,2.16,1.13,1.54,2.57,48.50
Lucas Torreira,ARS,$3700,M,275,0.33,0.00,2.95,1.31,0.98,2.62,1.31,1.64,0.98,3.27,38.62
Pierre-Emerick Aubameyang,ARS,$7900,F,990,0.73,0.00,2.82,1.18,0.27,2.82,0.73,0.27,0.45,0.45,22.00
Harry Kane,TOT,$8700,F,895,0.60,0.10,2.82,1.01,0.30,0.80,0.70,0.10,1.11,1.41,16.49
Moise Kean,EVE,$4400,F,288,0.00,0.31,2.81,0.31,0.63,1.56,0.94,0.94,3.44,1.25,14.06
Richarlison,EVE,$6300,M/F,942,0.19,0.19,2.77,0.76,0.48,2.48,0.96,2.10,0.76,2.20,25.13
Moussa Djenepo,SOU,$5800,M,130,1.38,0.00,2.77,2.08,0.69,0.69,0.69,3.46,2.77,4.15,28.38
Harry Wilson,BOU,$4900,M,653,0.41,0.00,2.62,0.96,0.41,1.24,0.96,0.55,0.41,2.21,28.67
Sofiane Boufal,SOU,$6600,M,384,0.00,0.47,2.58,1.17,0.23,3.05,1.88,0.94,2.58,2.11,31.88
Che Adams,SOU,$5600,F,460,0.00,0.00,2.54,0.39,0.20,1.17,1.17,0.00,1.17,0.39,16.83
Dominic Solanke,BOU,$3800,F,460,0.00,0.00,2.54,0.98,0.78,0.20,0.78,0.20,0.20,1.57,26.61
Allan Saint-Maximin,NEW,$5400,M,391,0.00,0.00,2.53,1.15,0.23,2.53,1.84,0.00,0.69,2.07,18.41
David McGoldrick,SHU,$6400,F,557,0.00,0.00,2.42,1.29,0.00,0.65,0.32,1.62,1.78,1.62,24.40
Reiss Nelson,ARS,$5400,M/F,151,0.00,0.00,2.38,1.79,0.00,2.98,1.79,1.19,2.38,1.19,38.15
Harvey Barnes,LEI,$5900,M,569,0.16,0.63,2.37,1.11,0.16,1.27,1.90,0.47,1.42,0.95,32.43
Pablo Fornals,WHU,$4500,M,418,0.00,0.00,2.37,0.43,0.43,4.31,1.29,1.29,0.65,1.08,35.31
Gylfi Sigurdsson,EVE,$5800,M/F,699,0.13,0.13,2.32,1.03,0.39,4.76,2.83,0.64,0.64,0.77,30.26
Sebastien Haller,WHU,$5500,F,900,0.40,0.10,2.30,1.20,0.60,0.20,1.10,0.80,1.60,1.60,30.70
Nathan Redmond,SOU,$5500,M/F,799,0.11,0.00,2.25,0.56,0.34,1.13,1.13,0.90,0.79,1.01,31.09
Youri Tielemans,LEI,$7200,M,983,0.27,0.18,2.20,0.55,0.64,2.66,1.65,0.55,0.92,1.74,54.84
Chris Wood,BUR,$6600,F,757,0.48,0.00,2.14,1.07,0.00,0.36,0.59,0.36,0.59,1.07,16.88
Andriy Yarmolenko,WHU,$5200,F,638,0.42,0.14,2.12,0.99,0.42,1.41,1.97,0.85,1.41,0.99,35.41
Felipe Anderson,WHU,$5000,M,752,0.00,0.36,2.03,0.84,1.32,2.75,1.80,2.39,0.72,1.68,61.16
Jamie Vardy,LEI,$10800,F,990,0.91,0.09,2.00,1.27,0.09,0.82,0.45,0.36,0.82,0.36,12.36
Fabian Balbuena,WHU,$3100,D,271,0.33,0.00,1.99,0.66,1.00,0.00,0.00,1.00,1.33,0.33,60.11
Callum Robinson,SHU,$6100,M/F,543,0.17,0.00,1.99,0.66,0.99,1.66,0.17,0.17,1.16,0.50,17.24
Alex Iwobi,EVE,$4900,M/F,636,0.14,0.00,1.98,0.99,0.57,1.70,1.27,1.13,0.00,0.42,33.54
Marc Albrighton,LEI,$5100,M,183,0.00,0.49,1.97,0.49,0.98,6.39,3.93,1.97,1.97,1.48,57.54
Jay Rodriguez,BUR,$5200,M/F,412,0.44,0.00,1.97,1.09,0.00,0.22,0.22,0.87,1.53,0.44,15.95
Dominic Calvert-Lewin,EVE,$4500,F,505,0.53,0.00,1.96,0.89,0.18,0.53,0.18,0.18,1.96,1.25,16.04
