,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Tammy Abraham,CHE,BUR,$9700,F,-105,51.22
Michy Batshuayi,CHE,BUR,$9000,F,125,44.44
Olivier Giroud,CHE,BUR,$7600,F,125,44.44
Andre Gray,WAT,BOU,$4800,F,150,40.00
Sebastien Haller,WHU,SHU,$5500,F,150,40.00
Callum Wilson,BOU,WAT,$4700,F,150,40.00
Ismaila Sarr,WAT,BOU,$5700,M/F,162,38.17
Albian Ajeti,WHU,SHU,$4800,F,187,34.84
Ashley Barnes,BUR,CHE,$6000,F,187,34.84
Arnaut Danjuma Groeneveld,BOU,WAT,$3700,F,187,34.84
Gerard Deulofeu,WAT,BOU,$6600,F,187,34.84
Callum Hudson-Odoi,CHE,BUR,$8200,F,187,34.84
Mason Mount,CHE,BUR,$8300,M,187,34.84
Glenn Murray,BHA,EVE,$4800,F,187,34.84
Dominic Solanke,BOU,WAT,$3800,F,187,34.84
Danny Welbeck,WAT,BOU,$5200,F,187,34.84
Chris Wood,BUR,CHE,$6600,F,187,34.84
Willian,CHE,BUR,$9500,M/F,200,33.33
Oliver McBurnie,SHU,WHU,$7200,F,200,33.33
Christian Pulisic,CHE,BUR,$9200,M/F,200,33.33
Pedro,CHE,BUR,$7800,M/F,200,33.33
Moise Kean,EVE,BHA,$4400,F,210,32.26
Joshua King,BOU,WAT,$4500,F,210,32.26
Neal Maupay,BHA,EVE,$7200,F,210,32.26
Leon Clarke,SHU,WHU,$5800,F,220,31.25
Lewis Richardson,BUR,CHE,$3100,M,220,31.25
Callum Robinson,SHU,WHU,$6100,M/F,220,31.25
Billy Sharp,SHU,WHU,$5100,F,220,31.25
Richarlison,EVE,BHA,$6300,M/F,225,30.77
Roberto Pereyra,WAT,BOU,$4500,M,225,30.77
Cenk Tosun,EVE,BHA,$4700,F,225,30.77
David McGoldrick,SHU,WHU,$6400,F,240,29.41
Andriy Yarmolenko,WHU,SHU,$5200,F,240,29.41
Dominic Calvert-Lewin,EVE,BHA,$4500,F,250,28.57
Jay Rodriguez,BUR,CHE,$5200,M/F,250,28.57
Matej Vydra,BUR,CHE,$4600,F,250,28.57
Harry Wilson,BOU,WAT,$4900,M,250,28.57
Felipe Anderson,WHU,SHU,$5000,M,260,27.78
Lys Mousset,SHU,WHU,$7500,F,260,27.78
Domingos Quina,WAT,BOU,$3200,M,260,27.78
Aaron Connolly,BHA,EVE,,,275,26.67
Gylfi Sigurdsson,EVE,BHA,$5800,M/F,275,26.67
Leandro Trossard,BHA,EVE,$7500,F,275,26.67
Ross Barkley,CHE,BUR,$6400,M,300,25.00
Jorginho,CHE,BUR,$4300,M,300,25.00
Alireza Jahanbakhsh,BHA,EVE,$4100,M/F,300,25.00
Manuel Lanzini,WHU,SHU,$6100,M,300,25.00
Robert Snodgrass,WHU,SHU,$6300,M,300,25.00
Theo Walcott,EVE,BHA,$4600,M/F,300,25.00
