,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Harry Kane,TOT,BOU,$8700,F,-200,66.67
Mohamed Salah,LIV,BHA,$9800,M/F,-188,65.28
Tammy Abraham,CHE,WHU,$9700,F,-175,63.64
Sadio Mane,LIV,BHA,$10000,M/F,-138,57.98
Divock Origi,LIV,BHA,$8000,F,-120,54.55
Michy Batshuayi,CHE,WHU,$9000,F,-110,52.38
Olivier Giroud,CHE,WHU,$7600,F,-110,52.38
Roberto Firmino,LIV,BHA,$8500,M/F,-105,51.22
Son Heung-Min,TOT,BOU,$8600,M/F,-105,51.22
Lucas Moura,TOT,BOU,$6200,M/F,125,44.44
Callum Hudson-Odoi,CHE,WHU,$8200,F,130,43.48
Mason Mount,CHE,WHU,$8300,M,130,43.48
Rhian Brewster,LIV,BHA,$7200,F,135,42.55
Willian,CHE,WHU,$9500,M/F,140,41.67
Christian Pulisic,CHE,WHU,$9200,M/F,140,41.67
Pedro,CHE,WHU,$7800,M/F,140,41.67
Ashley Barnes,BUR,CRY,$6000,F,160,38.46
Chris Wood,BUR,CRY,$6600,F,160,38.46
Christian Eriksen,TOT,BOU,$6500,M,162,38.17
Troy Deeney,WAT,SOU,$5300,F,175,36.36
Danny Ings,SOU,WAT,$8500,F,175,36.36
Xherdan Shaqiri,LIV,BHA,$6900,M/F,175,36.36
Che Adams,SOU,WAT,$5600,F,187,34.84
Dele Alli,TOT,BOU,$7500,M,187,34.84
Michael Obafemi,SOU,WAT,$5300,F,187,34.84
Alex Oxlade-Chamberlain,LIV,BHA,$6500,M/F,187,34.84
Jorginho,CHE,WHU,$4300,M,200,33.33
Erik Lamela,TOT,BOU,$6700,M/F,210,32.26
Shane Long,SOU,WAT,$6300,F,210,32.26
Ross Barkley,CHE,WHU,$6400,M,220,31.25
Jay Rodriguez,BUR,CRY,$5200,M/F,220,31.25
Matej Vydra,BUR,CRY,$4600,F,220,31.25
Andre Gray,WAT,SOU,$4800,F,225,30.77
Nathan Redmond,SOU,WAT,$5500,M/F,225,30.77
Callum Wilson,BOU,TOT,$4700,F,225,30.77
Moussa Djenepo,SOU,WAT,$5800,M,240,29.41
Joshua King,BOU,TOT,$4500,F,240,29.41
Adam Lallana,LIV,BHA,$4900,M,240,29.41
James Milner,LIV,BHA,$5900,M,240,29.41
Ismaila Sarr,WAT,SOU,$5700,M/F,250,28.57
Gerard Deulofeu,WAT,SOU,$6600,F,260,27.78
Sebastien Haller,WHU,CHE,$5500,F,260,27.78
Isaac Success,WAT,SOU,$3900,F,260,27.78
