,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Michail Antonio,WHU,$6200,M/F,170,0.53,0.00,4.24,2.65,1.06,1.59,1.59,0.00,0.53,2.65,28.06
Ross Barkley,CHE,$6400,M,339,0.00,0.00,3.98,1.33,0.80,0.80,2.65,0.53,0.53,0.80,51.50
Mohamed Salah,LIV,$9800,M/F,944,0.57,0.29,3.81,1.81,0.10,1.81,1.62,0.29,0.76,0.86,28.98
Tammy Abraham,CHE,$9700,F,970,0.93,0.19,3.71,1.86,0.28,0.28,1.21,0.09,0.84,1.11,16.14
Pedro,CHE,$7800,M/F,243,0.00,0.00,3.70,1.48,1.85,1.85,2.96,0.37,0.74,1.48,39.63
Neal Maupay,BHA,$7200,F,965,0.37,0.00,3.64,1.03,0.28,0.37,0.84,0.37,1.03,1.49,21.73
Lucas Moura,TOT,$6200,M/F,485,0.37,0.19,3.53,1.30,0.37,0.37,1.11,0.74,0.56,1.86,31.73
Aaron Connolly,BHA,,,411,0.44,0.00,3.50,1.31,0.00,1.31,0.66,0.44,1.31,3.28,13.14
Son Heung-Min,TOT,$8600,M/F,880,0.41,0.41,3.48,1.43,0.31,1.33,1.74,0.51,0.61,0.92,29.86
Gerard Deulofeu,WAT,$6600,F,875,0.21,0.21,3.39,1.54,0.93,5.55,2.37,0.72,0.93,0.62,31.17
Roberto Firmino,LIV,$8500,M/F,1092,0.33,0.25,3.38,1.32,0.08,0.16,1.40,0.66,0.91,0.49,33.46
Arnaut Danjuma Groeneveld,BOU,$3700,F,163,0.00,0.00,3.31,1.10,2.21,0.55,1.10,0.00,0.00,1.66,39.75
Alex Oxlade-Chamberlain,LIV,$6500,M/F,327,0.00,0.00,3.30,0.28,1.10,2.20,0.83,0.83,1.38,1.10,45.41
Ashley Barnes,BUR,$6000,F,974,0.55,0.00,3.23,1.11,0.28,0.37,0.18,0.28,2.13,2.49,16.26
Willian,CHE,$9500,M/F,846,0.21,0.32,3.09,0.74,1.06,3.94,2.02,1.38,0.53,2.13,46.38
Danny Ings,SOU,$8500,F,828,0.65,0.11,3.04,1.20,0.22,0.65,1.09,0.87,1.09,0.76,16.96
