,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Mario Vrancic,NOR,$4400,M,106,0.00,0.00,4.25,0.85,0.00,0.00,3.40,1.70,1.70,1.70,79.81
Neal Maupay,BHA,$8700,F,1249,0.50,0.00,3.67,1.37,0.22,0.36,0.72,0.29,1.15,1.30,21.69
Patrick Cutrone,WLV,$6900,F,294,0.61,0.00,3.37,1.22,0.61,1.53,0.61,0.61,1.53,2.76,17.14
Raul Jimenez,WLV,$9000,F,1473,0.37,0.31,3.30,1.28,0.43,0.73,1.77,0.37,1.10,0.86,27.86
Dan Gosling,BOU,$4500,M,146,0.62,0.00,3.08,0.62,3.70,0.00,1.85,0.62,3.70,0.62,33.29
Diogo Jota,WLV,$7600,M/F,1142,0.24,0.00,3.07,1.10,0.55,1.42,1.18,0.39,1.97,2.52,33.10
Aaron Connolly,BHA,,,563,0.32,0.00,3.04,1.28,0.00,1.12,0.48,0.48,1.44,3.36,11.99
Ashley Barnes,BUR,$6100,F,1157,0.47,0.00,2.88,0.93,0.39,0.31,0.31,0.31,2.18,2.49,16.57
Danny Ings,SOU,$7300,F,1173,0.69,0.08,2.84,1.15,0.31,0.84,1.15,0.69,1.07,0.61,18.49
David McGoldrick,SHU,$6200,F,987,0.00,0.18,2.83,1.46,0.27,0.46,0.82,1.64,1.46,1.19,29.00
Sofiane Boufal,SOU,$6500,M,483,0.00,0.37,2.80,1.12,0.19,2.61,2.05,1.12,3.54,2.42,33.17
Harry Wilson,BOU,$6100,M,881,0.61,0.00,2.76,1.02,0.41,1.84,0.82,0.72,0.31,2.04,31.06
Trezeguet,AVL,$6300,M,886,0.30,0.10,2.74,0.81,1.22,3.25,0.81,0.61,1.63,1.83,18.08
Teemu Pukki,NOR,$6800,F,1516,0.53,0.18,2.73,1.37,0.18,0.30,1.25,0.24,0.89,0.42,16.33
Christian Benteke,CRY,$5100,F,397,0.00,0.00,2.72,1.81,0.23,0.45,1.59,1.13,2.27,1.59,24.94
Anwar El Ghazi,AVL,$7200,M,1028,0.26,0.35,2.63,1.05,0.53,4.55,1.66,0.70,0.79,0.88,22.59
Lys Mousset,SHU,$5800,F,657,0.68,0.41,2.60,0.68,0.27,0.14,1.10,0.55,1.78,0.68,17.40
Che Adams,SOU,$5200,F,487,0.00,0.00,2.40,0.37,0.18,1.29,1.11,0.00,1.48,0.37,17.56
Josip Drmic,NOR,$4900,F,115,0.78,0.00,2.35,0.78,0.00,0.78,0.00,0.00,0.00,1.57,19.57
Jay Rodriguez,BUR,$5100,M/F,590,0.31,0.00,2.29,0.92,0.31,0.15,0.31,0.92,1.22,0.46,17.08
Chris Wood,BUR,$6700,F,1220,0.52,0.00,2.29,1.33,0.07,0.30,0.59,0.30,0.96,0.96,16.38
John McGinn,AVL,$6900,M,1530,0.18,0.12,2.24,0.88,0.94,2.88,1.59,1.76,1.41,2.35,30.65
Arnaut Danjuma Groeneveld,BOU,$4800,F,407,0.00,0.00,2.21,0.88,1.55,1.33,0.44,0.00,0.00,0.88,34.72
Shane Long,SOU,$5700,F,413,0.00,0.22,2.18,0.87,0.00,0.87,1.53,0.22,1.53,1.53,28.11
Nathan Redmond,SOU,$5200,M/F,1252,0.07,0.00,2.16,0.65,0.29,1.15,0.93,1.01,0.72,0.93,31.92
Jack Grealish,AVL,$9100,M,1344,0.27,0.27,2.14,0.67,0.67,2.88,2.54,1.00,0.87,4.62,41.45
Jonjo Shelvey,NEW,$8200,M,852,0.53,0.00,2.11,0.85,1.58,3.27,1.90,0.63,0.63,0.42,38.56
Dominic Solanke,BOU,$5000,F,769,0.00,0.00,2.11,0.59,0.47,0.23,1.05,0.35,0.82,1.29,25.63
Oliver McBurnie,SHU,$6500,F,645,0.28,0.00,2.09,0.70,0.84,0.14,0.42,0.84,1.67,0.70,24.70
Pedro Neto,WLV,$6300,F,174,0.00,1.03,2.07,0.52,1.03,3.62,1.55,0.00,1.03,0.52,37.76
Allan Saint-Maximin,NEW,$5700,M,820,0.11,0.00,1.98,0.99,0.33,2.52,1.43,0.22,0.77,1.87,16.35
Douglas Luiz,AVL,$4000,M,873,0.21,0.00,1.96,0.62,0.82,0.62,0.31,0.72,1.34,1.44,42.47
Ruben Neves,WLV,$4200,M,1321,0.14,0.00,1.91,0.34,1.16,1.43,0.82,0.61,1.02,0.55,56.28
Callum Robinson,SHU,$5700,M/F,582,0.15,0.15,1.86,0.62,0.93,1.86,0.31,0.15,1.39,0.62,18.09
Conor Hourihane,AVL,$6600,M,582,0.31,0.31,1.86,0.77,0.62,5.88,1.86,0.62,1.24,1.39,35.41
Max Meyer,CRY,$4000,M,195,0.00,0.00,1.85,0.46,0.92,1.85,0.00,1.38,0.92,0.46,24.00
Leandro Trossard,BHA,$7100,F,636,0.28,0.28,1.84,0.71,0.28,4.53,2.55,0.28,0.57,0.14,36.93
Joelinton,NEW,$5900,F,1282,0.07,0.07,1.83,0.42,0.56,0.07,1.19,0.49,0.91,1.19,27.17
Onel Hernandez,NOR,$4700,M,601,0.15,0.15,1.80,0.60,1.35,2.70,1.65,0.90,0.60,0.90,20.67
Jordan Ayew,CRY,$5500,F,1311,0.27,0.00,1.78,0.62,0.27,0.21,0.55,0.96,1.72,2.54,22.38
Moussa Djenepo,SOU,$6000,M,559,0.32,0.16,1.77,0.64,0.97,1.61,0.81,2.25,2.09,3.22,21.74
