,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Jamie Vardy,LEI,NOR,$10800,F,-260,72.22
Tammy Abraham,CHE,BOU,$9700,F,-250,71.43
Kelechi Iheanacho,LEI,NOR,$8100,F,-170,62.96
Olivier Giroud,CHE,BOU,$7600,F,-155,60.78
Michy Batshuayi,CHE,BOU,$9000,F,-140,58.33
Danny Ings,SOU,WHU,$8500,F,-120,54.55
Lys Mousset,SHU,AVL,$7500,F,-115,53.49
Willian,CHE,BOU,$9500,M/F,125,44.44
Callum Hudson-Odoi,CHE,BOU,$8200,F,125,44.44
David McGoldrick,SHU,AVL,$6400,F,130,43.48
Pedro,CHE,BOU,$7800,M/F,135,42.55
Ashley Barnes,BUR,NEW,$6000,F,140,41.67
Christian Pulisic,CHE,BOU,$9200,M/F,140,41.67
James Maddison,LEI,NOR,$10300,M,150,40.00
Mason Mount,CHE,BOU,$8300,M,150,40.00
Chris Wood,BUR,NEW,$6600,F,155,39.22
Shane Long,SOU,WHU,$6300,F,165,37.74
Youri Tielemans,LEI,NOR,$7200,M,165,37.74
Oliver McBurnie,SHU,AVL,$7200,F,170,37.04
James Ward-Prowse,SOU,WHU,$8000,M,175,36.36
Harvey Barnes,LEI,NOR,$5900,M,180,35.71
Sebastien Haller,WHU,SOU,$5500,F,180,35.71
Demarai Gray,LEI,NOR,$3900,M,185,35.09
Ayoze Perez,LEI,NOR,$7700,M/F,185,35.09
Callum Robinson,SHU,AVL,$6100,M/F,185,35.09
Billy Sharp,SHU,AVL,$5100,F,190,34.48
Ross Barkley,CHE,BOU,$6400,M,200,33.33
Jay Rodriguez,BUR,NEW,$5200,M/F,200,33.33
Albian Ajeti,WHU,SOU,$4800,F,210,32.26
Teemu Pukki,NOR,LEI,$5400,F,210,32.26
Che Adams,SOU,WHU,$5600,F,220,31.25
Michail Antonio,WHU,SOU,$6200,M/F,220,31.25
Dwight Gayle,NEW,BUR,$4500,F,230,30.30
N'Golo Kante,CHE,BOU,$5500,M,230,30.30
Matej Vydra,BUR,NEW,$4600,F,230,30.30
Michael Obafemi,SOU,WHU,$5300,F,240,29.41
Nathan Redmond,SOU,WHU,$5500,M/F,240,29.41
Callum Wilson,BOU,CHE,$4700,F,240,29.41
Andriy Yarmolenko,WHU,SOU,$5200,F,250,28.57
Joshua King,BOU,CHE,$4500,F,260,27.78
John Lundstram,SHU,AVL,$4800,M,270,27.03
Dennis Srbeny,NOR,LEI,$3900,F,270,27.03
Moussa Djenepo,SOU,WHU,$5800,M,280,26.32
Jorginho,CHE,BOU,$4300,M,280,26.32
Andy Carroll,NEW,BUR,$5000,F,290,25.64
Joelinton,NEW,BUR,$5700,F,290,25.64
Jonathan Kodjia,AVL,SHU,$4400,F,300,25.00
John McGinn,AVL,SHU,$6000,M,300,25.00
Robert Snodgrass,WHU,SOU,$6300,M,300,25.00
Stuart Armstrong,SOU,WHU,$3600,M,310,24.39
Trezeguet,AVL,SHU,$5300,M,310,24.39
Dominic Solanke,BOU,CHE,$3800,F,320,23.81
Anwar El Ghazi,AVL,SHU,$6800,M,330,23.26
Jeff Hendrick,BUR,NEW,$3300,M,330,23.26
Ravel Morrison,SHU,AVL,$3300,M,330,23.26
