,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Gabriel Jesus,MCI,$8300,F,638,0.71,0.14,4.94,2.26,0.56,0.28,0.99,0.14,1.41,1.13,21.16
Sergio Aguero,MCI,$9200,F,812,1.00,0.22,4.66,1.33,0.22,0.44,1.33,0.33,0.33,0.44,19.95
Mohamed Salah,LIV,$9800,M/F,1013,0.53,0.27,3.73,1.69,0.09,1.69,1.60,0.27,0.71,0.80,28.25
Alex Oxlade-Chamberlain,LIV,$6500,M/F,405,0.00,0.00,3.56,0.44,2.00,2.00,0.89,0.67,1.11,1.33,42.44
Raheem Sterling,MCI,$8500,M/F,1224,0.59,0.07,3.31,1.18,0.44,2.43,1.76,0.59,1.25,1.10,40.00
Mason Greenwood,MUN,$6400,F,218,0.41,0.00,3.30,2.06,0.00,2.06,0.00,1.24,0.83,0.41,29.72
Marcus Rashford,MUN,$8200,F,1309,0.62,0.28,3.30,1.38,0.34,1.31,1.31,0.48,0.76,1.65,25.92
Roberto Firmino,LIV,$8500,M/F,1185,0.30,0.30,3.27,1.37,0.08,0.15,1.37,0.61,0.84,0.46,33.19
Son Heung-Min,TOT,$8600,M/F,1058,0.34,0.51,3.15,1.19,0.34,1.45,1.79,0.85,0.51,0.85,30.20
Kevin De Bruyne,MCI,$10100,M,1136,0.32,0.71,3.09,0.79,0.40,11.33,4.36,0.71,0.87,0.79,57.36
Ashley Barnes,BUR,$6000,F,1067,0.51,0.00,3.04,1.01,0.34,0.34,0.17,0.25,2.11,2.36,16.28
Lucas Moura,TOT,$6200,M/F,565,0.32,0.16,3.03,1.12,0.32,0.80,1.12,0.96,0.64,1.59,30.74
Riyad Mahrez,MCI,$9000,M/F,635,0.57,0.43,2.98,1.84,0.99,3.54,3.12,1.13,0.28,1.13,49.89
Anthony Martial,MUN,$7100,M/F,698,0.39,0.39,2.97,1.55,0.13,0.39,0.90,0.13,1.16,1.03,23.21
Gerard Deulofeu,WAT,$6600,F,1019,0.18,0.18,2.91,1.32,0.79,5.48,2.12,0.62,1.06,0.53,30.82
Bernardo Silva,MCI,$8100,M/F,839,0.54,0.43,2.90,1.18,1.29,4.40,2.04,0.86,1.07,1.29,52.78
Harry Wilson,BOU,$4900,M,881,0.61,0.00,2.76,1.02,0.41,1.84,0.82,0.72,0.31,2.04,31.06
Xherdan Shaqiri,LIV,$6900,M/F,101,0.89,0.00,2.67,0.89,0.00,3.56,0.89,0.00,0.00,2.67,47.23
