,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Alexandre Lacazette,ARS,$7700,F,408,0.44,0.22,4.19,1.99,0.44,0.44,1.54,0.66,1.10,2.21,28.68
Arnaut Danjuma Groeneveld,BOU,$3700,F,118,0.00,0.00,3.81,1.53,3.05,0.00,0.76,0.00,0.00,2.29,45.00
Mohamed Salah,LIV,$9800,M/F,944,0.57,0.29,3.81,1.81,0.10,1.81,1.62,0.29,0.76,0.86,28.98
Neal Maupay,BHA,$7200,F,875,0.41,0.00,3.81,1.13,0.31,0.41,0.82,0.41,1.03,1.65,22.32
Alex Oxlade-Chamberlain,LIV,$6500,M/F,263,0.00,0.00,3.76,0.34,1.37,2.05,1.03,0.68,0.68,1.37,52.02
Theo Walcott,EVE,$4600,M/F,374,0.00,0.24,3.61,0.96,0.72,2.65,1.44,0.48,0.48,1.44,23.58
Aaron Connolly,BHA,,,411,0.44,0.00,3.50,1.31,0.00,1.31,0.66,0.44,1.31,3.28,13.14
Cenk Tosun,EVE,$4700,F,131,0.69,0.00,3.44,0.69,0.00,0.00,2.06,0.00,0.69,0.69,19.92
Gerard Deulofeu,WAT,$6600,F,785,0.23,0.23,3.32,1.38,1.03,5.04,2.06,0.80,1.03,0.46,31.87
Roberto Firmino,LIV,$8500,M/F,1003,0.27,0.27,3.32,1.26,0.09,0.18,1.53,0.63,0.99,0.54,33.92
Ashley Barnes,BUR,$6000,F,884,0.51,0.00,3.16,1.12,0.20,0.41,0.20,0.31,2.14,2.55,17.00
Nicolas Pepe,ARS,$7300,F,742,0.12,0.24,3.15,0.97,0.49,6.19,2.06,1.21,0.61,0.49,33.84
James Maddison,LEI,$10300,M,964,0.37,0.19,3.08,0.65,0.28,8.03,2.24,1.12,1.59,2.71,49.76
Diogo Jota,WLV,$7000,M/F,724,0.12,0.00,2.98,0.99,0.50,0.99,1.12,0.50,2.24,2.49,32.69
Danny Ings,SOU,$8500,F,755,0.60,0.12,2.98,1.19,0.24,0.72,1.07,0.83,0.95,0.72,16.93
Raul Jimenez,WLV,$7800,F,1034,0.44,0.17,2.96,1.13,0.52,0.70,1.57,0.44,1.04,0.61,27.68
Teemu Pukki,NOR,$5400,F,1067,0.51,0.17,2.87,1.52,0.25,0.25,1.35,0.34,0.93,0.34,15.94
Patrick Cutrone,WLV,$6300,F,283,0.32,0.00,2.86,0.64,0.32,1.59,0.64,0.64,1.59,2.86,16.54
Moise Kean,EVE,$4400,F,288,0.00,0.31,2.81,0.31,0.63,1.56,0.94,0.94,3.44,1.25,14.06
Richarlison,EVE,$6300,M/F,1031,0.26,0.17,2.79,0.87,0.44,2.36,0.96,2.01,0.87,2.18,25.05
Pierre-Emerick Aubameyang,ARS,$7900,F,1080,0.67,0.00,2.67,1.08,0.25,2.92,0.83,0.25,0.58,0.42,22.33
Harry Wilson,BOU,$4900,M,719,0.50,0.00,2.63,1.00,0.50,1.25,0.88,0.63,0.38,2.25,28.66
Dominic Solanke,BOU,$3800,F,484,0.00,0.00,2.60,0.93,0.74,0.19,0.74,0.19,0.37,1.49,27.33
Sadio Mane,LIV,$10000,M/F,968,0.65,0.19,2.60,1.30,0.84,1.39,2.14,1.30,2.05,1.49,33.56
Sofiane Boufal,SOU,$6600,M,429,0.00,0.42,2.52,1.26,0.21,2.73,1.68,1.26,3.15,2.10,31.26
Pedro Neto,WLV,$5600,F,143,0.00,0.63,2.52,0.63,0.63,4.41,1.26,0.00,0.63,0.00,39.65
Che Adams,SOU,$5600,F,469,0.00,0.00,2.49,0.38,0.19,1.15,1.15,0.00,1.34,0.38,16.50
Onel Hernandez,NOR,$3900,M,254,0.35,0.00,2.48,0.71,0.71,3.54,0.71,0.71,1.06,0.71,19.13
Andre Gray,WAT,$4800,F,581,0.31,0.00,2.48,0.77,0.15,0.46,1.39,0.46,0.62,0.15,17.66
Chris Wood,BUR,$6600,F,846,0.53,0.00,2.45,1.38,0.00,0.43,0.53,0.32,0.64,0.96,16.49
Reiss Nelson,ARS,$5400,M/F,151,0.00,0.00,2.38,1.79,0.00,2.98,1.79,1.19,2.38,1.19,38.15
Harvey Barnes,LEI,$5900,M,643,0.14,0.56,2.38,1.12,0.14,1.26,1.82,0.42,1.40,0.84,31.07
Adam Lallana,LIV,$4900,M,114,0.79,0.00,2.37,0.79,0.79,0.79,2.37,3.16,0.79,3.16,82.11
James Milner,LIV,$5900,M,268,0.34,0.67,2.35,0.67,0.67,0.67,1.34,0.67,1.34,0.67,59.78
