,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Sergio Aguero,MCI,MUN,$9200,F,-185,64.91
Harry Kane,TOT,BUR,$8700,F,-175,63.64
Gabriel Jesus,MCI,MUN,$8300,F,-160,61.54
Mohamed Salah,LIV,BOU,$9800,M/F,-150,60.00
Sadio Mane,LIV,BOU,$10000,M/F,-115,53.49
Raheem Sterling,MCI,MUN,$8500,M/F,-115,53.49
Divock Origi,LIV,BOU,$8000,F,-105,51.22
Son Heung-Min,TOT,BUR,$8600,M/F,-100,50.00
Roberto Firmino,LIV,BOU,$8500,M/F,105,48.78
Lucas Moura,TOT,BUR,$6200,M/F,125,44.44
Riyad Mahrez,MCI,MUN,$9000,M/F,155,39.22
Xherdan Shaqiri,LIV,BOU,$6900,M/F,155,39.22
Christian Eriksen,TOT,BUR,$6500,M,175,36.36
Jordan Ayew,CRY,WAT,$5500,F,185,35.09
Bernardo Silva,MCI,MUN,$8100,M/F,185,35.09
Andre Gray,WAT,CRY,$4800,F,190,34.48
Gerard Deulofeu,WAT,CRY,$6600,F,195,33.90
Dele Alli,TOT,BUR,$7500,M,200,33.33
Callum Wilson,BOU,LIV,$4700,F,200,33.33
Troy Deeney,WAT,CRY,$5300,F,210,32.26
Kevin De Bruyne,MCI,MUN,$10100,M,220,31.25
Ashley Barnes,BUR,TOT,$6000,F,230,30.30
Joshua King,BOU,LIV,$4500,F,230,30.30
Erik Lamela,TOT,BUR,$6700,M/F,230,30.30
Alex Oxlade-Chamberlain,LIV,BOU,$6500,M/F,230,30.30
Ismaila Sarr,WAT,CRY,$5700,M/F,230,30.30
Adam Lallana,LIV,BOU,$4900,M,240,29.41
David Silva,MCI,MUN,$6300,M,250,28.57
Anthony Martial,MUN,MCI,$7100,M/F,270,27.03
Marcus Rashford,MUN,MCI,$8200,F,270,27.03
Christian Benteke,CRY,WAT,$4900,F,280,26.32
Giovani Lo Celso,TOT,BUR,$5900,M,280,26.32
Luka Milivojevic,CRY,WAT,$6600,M,280,26.32
Dominic Solanke,BOU,LIV,$3800,F,280,26.32
Isaac Success,WAT,CRY,$3900,F,280,26.32
James Milner,LIV,BOU,$5900,M,290,25.64
Jay Rodriguez,BUR,TOT,$5200,M/F,290,25.64
Connor Wickham,CRY,WAT,$3600,F,290,25.64
Chris Wood,BUR,TOT,$6600,F,290,25.64
Mason Greenwood,MUN,MCI,$6400,F,310,24.39
Ilkay Gundogan,MCI,MUN,$5500,M,320,23.81
Georginio Wijnaldum,LIV,BOU,$4300,M,320,23.81
Wilfried Zaha,CRY,WAT,$7500,M/F,320,23.81
Matej Vydra,BUR,TOT,$4600,F,330,23.26
Phil Foden,MCI,MUN,$7200,M,340,22.73
Roberto Pereyra,WAT,CRY,$4500,M,350,22.22
Paul Pogba,MUN,MCI,$6500,M,350,22.22
Abdoulaye Doucoure,WAT,CRY,$3600,M,370,21.28
Tanguy Ndombele,TOT,BUR,$5200,M,400,20.00
Naby Keita,LIV,BOU,$4600,M,410,19.61
Daniel James,MUN,MCI,$6700,M,440,18.52
Jeffrey Schlupp,CRY,WAT,$4400,M,440,18.52
Andros Townsend,CRY,WAT,$5700,M/F,450,18.18
Ryan Fraser,BOU,LIV,$5200,M,460,17.86
Trent Alexander-Arnold,LIV,BOU,$7300,D,490,16.95
Arnaut Danjuma Groeneveld,BOU,LIV,$3700,F,490,16.95
Tom Cleverley,WAT,CRY,$5100,M,500,16.67
Jordan Henderson,LIV,BOU,$5100,M,500,16.67
Jeff Hendrick,BUR,TOT,$3300,M,500,16.67
Will Hughes,WAT,CRY,$4300,M,500,16.67
Jordon Ibe,BOU,LIV,$3500,M/F,500,16.67
Jesse Lingard,MUN,MCI,$4200,M,500,16.67
Virgil van Dijk,LIV,BOU,$4100,D,500,16.67
Domingos Quina,WAT,CRY,$3200,M,550,15.38
Ryan Sessegnon,TOT,BUR,$3200,M,550,15.38
Moussa Sissoko,TOT,BUR,$4300,M,550,15.38
Victor Camarasa,CRY,WAT,$6000,M,600,14.29
Etienne Capoue,WAT,CRY,$4100,M,600,14.29
Eric Dier,TOT,BUR,$3000,M,600,14.29
Jose Holebas,WAT,CRY,$5100,D,600,14.29
Max Meyer,CRY,WAT,$3900,M,600,14.29
Oleksandr Zinchenko,MCI,MUN,$4500,D,650,13.33
