,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Sergio Aguero,MCI,EVE,$9600,F,-250,71.43
Jamie Vardy,LEI,NEW,$9000,F,-180,64.29
Gabriel Jesus,MCI,EVE,$9300,F,-160,61.54
Raheem Sterling,MCI,EVE,$9400,M/F,-135,57.45
Harry Kane,TOT,SOU,$8900,F,-125,55.56
Teemu Pukki,NOR,CRY,$6000,F,-120,54.55
Kelechi Iheanacho,LEI,NEW,$6600,F,-115,53.49
Sebastien Haller,WHU,BOU,$6100,F,125,44.44
Danny Ings,SOU,TOT,$7500,F,130,43.48
Raul Jimenez,WLV,WAT,$8700,F,130,43.48
Dennis Srbeny,NOR,CRY,$4500,F,130,43.48
Riyad Mahrez,MCI,EVE,$9200,M/F,135,42.55
Albian Ajeti,WHU,BOU,$4100,F,150,40.00
Callum Wilson,BOU,WHU,$5200,F,155,39.22
Son Heung-Min,TOT,SOU,$9100,M/F,160,38.46
Troy Parrott,TOT,SOU,$6300,F,160,38.46
Bernardo Silva,MCI,EVE,$8400,M/F,165,37.74
Andriy Yarmolenko,WHU,BOU,$5700,F,170,37.04
Patrick Cutrone,WLV,WAT,$5900,F,175,36.36
Joshua King,BOU,WHU,$4800,F,175,36.36
Lucas Moura,TOT,SOU,$7300,M/F,180,35.71
Dele Alli,TOT,SOU,$7400,M,185,35.09
Michail Antonio,WHU,BOU,$6200,M/F,185,35.09
Jordan Ayew,CRY,NOR,$5800,F,190,34.48
Ayoze Perez,LEI,NEW,$5900,M/F,190,34.48
Kevin De Bruyne,MCI,EVE,$10900,M,195,33.90
Diogo Jota,WLV,WAT,$6800,M/F,200,33.33
James Maddison,LEI,NEW,$9700,M,210,32.26
Troy Deeney,WAT,WLV,$6900,F,220,31.25
Gerard Deulofeu,WAT,WLV,$7200,F,220,31.25
Andre Gray,WAT,WLV,$3800,F,220,31.25
David Silva,MCI,EVE,$6700,M,220,31.25
Robert Snodgrass,WHU,BOU,$7100,M,220,31.25
Dominic Solanke,BOU,WHU,$4000,F,220,31.25
Harry Wilson,BOU,WHU,$6200,M,220,31.25
Wilfried Zaha,CRY,NOR,$6100,M/F,220,31.25
Demarai Gray,LEI,NEW,$4800,M,230,30.30
Shane Long,SOU,TOT,$5400,F,230,30.30
Pedro Neto,WLV,WAT,$4700,F,240,29.41
James Ward-Prowse,SOU,TOT,$7600,M,240,29.41
Connor Wickham,CRY,NOR,$3900,F,240,29.41
Todd Cantwell,NOR,CRY,$6300,M,250,28.57
Richarlison,EVE,MCI,$6200,M/F,250,28.57
Phil Foden,MCI,EVE,$7700,M,250,28.57
Luka Milivojevic,CRY,NOR,$5800,M,250,28.57
Youri Tielemans,LEI,NEW,$6000,M,250,28.57
Christian Eriksen,TOT,SOU,$7800,M,260,27.78
Cenk Tosun,EVE,MCI,$5000,F,260,27.78
Harvey Barnes,LEI,NEW,$5700,M,270,27.03
Dominic Calvert-Lewin,EVE,MCI,$6200,F,270,27.03
Moise Kean,EVE,MCI,$4700,F,280,26.32
Ilkay Gundogan,MCI,EVE,$6400,M,290,25.64
Michael Obafemi,SOU,TOT,$5100,F,290,25.64
Che Adams,SOU,TOT,$4600,F,300,25.00
Oumar Niasse,EVE,MCI,$3600,F,300,25.00
Ismaila Sarr,WAT,WLV,$7000,M/F,300,25.00
Ryan Sessegnon,TOT,SOU,$4300,M,300,25.00
Pablo Fornals,WHU,BOU,$5600,M,310,24.39
Dwight Gayle,NEW,LEI,$4200,F,310,24.39
Manuel Lanzini,WHU,BOU,$5200,M,310,24.39
Felipe Anderson,WHU,BOU,$5600,M,320,23.81
Onel Hernandez,NOR,CRY,$5000,M,330,23.26
Nathan Redmond,SOU,TOT,$4900,M/F,330,23.26
Erik Lamela,TOT,SOU,$7100,M/F,340,22.73
Isaac Success,WAT,WLV,$3700,F,340,22.73
Adama Traore,WLV,WAT,$8800,M/F,340,22.73
