Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M/F, Willian (14019734), Willian,14019734,M/F/UTIL,10200,CHE vs SOU 10:00AM ET,CHE,14.46
M,Jack Grealish (14019765),Jack Grealish,14019765,M/UTIL,9500,AVL vs NOR 10:00AM ET,AVL,18.14
F,Tammy Abraham (14019726),Tammy Abraham,14019726,F/UTIL,9000,CHE vs SOU 10:00AM ET,CHE,14.07
F,Pierre-Emerick Aubameyang (14019666),Pierre-Emerick Aubameyang,14019666,F/UTIL,8700,BOU vs ARS 10:00AM ET,ARS,13.57
M/F,Christian Pulisic (14019737),Christian Pulisic,14019737,M/F/UTIL,8600,CHE vs SOU 10:00AM ET,CHE,11.89
F,Alexandre Lacazette (14019668),Alexandre Lacazette,14019668,F/UTIL,8400,BOU vs ARS 10:00AM ET,ARS,11.34
F,Callum Hudson-Odoi (14019728),Callum Hudson-Odoi,14019728,F/UTIL,8200,CHE vs SOU 10:00AM ET,CHE,5.93
F,Nicolas Pepe (14019670),Nicolas Pepe,14019670,F/UTIL,8000,BOU vs ARS 10:00AM ET,ARS,11.06
M/F,Wilfried Zaha (14020010),Wilfried Zaha,14020010,M/F/UTIL,7900,CRY vs WHU 10:00AM ET,CRY,9.85
M,Mason Mount (14019710),Mason Mount,14019710,M/UTIL,7700,CHE vs SOU 10:00AM ET,CHE,12.58
F,Michy Batshuayi (14019730),Michy Batshuayi,14019730,F/UTIL,7700,CHE vs SOU 10:00AM ET,CHE,2.9
M/F, Pedro (14019740), Pedro,14019740,M/F/UTIL,7600,CHE vs SOU 10:00AM ET,CHE,10.78
M/F, Richarlison (14019840), Richarlison,14019840,M/F/UTIL,7500,EVE vs BUR 10:00AM ET,EVE,12.94
M/F,Gabriel Martinelli (14019676),Gabriel Martinelli,14019676,M/F/UTIL,7400,BOU vs ARS 10:00AM ET,ARS,4.40
M,Emiliano Buendia (14020038),Emiliano Buendia,14020038,M/UTIL,7400,AVL vs NOR 10:00AM ET,NOR,12.32
M,Ryan Fraser (14020151),Ryan Fraser,14020151,M/UTIL,7300,BOU vs ARS 10:00AM ET,BOU,10.72
M,Ruben Loftus-Cheek (14019712),Ruben Loftus-Cheek,14019712,M/UTIL,7200,CHE vs SOU 10:00AM ET,CHE,0
M,John Fleck (14020262),John Fleck,14020262,M/UTIL,7200,SHU vs WAT 10:00AM ET,SHU,11.31
M,John McGinn (14019767),John McGinn,14019767,M/UTIL,7100,AVL vs NOR 10:00AM ET,AVL,12.66
F,Teemu Pukki (14020060),Teemu Pukki,14020060,F/UTIL,7100,AVL vs NOR 10:00AM ET,NOR,12.10
M,Mesut Ozil (14019648),Mesut Ozil,14019648,M/UTIL,7000,BOU vs ARS 10:00AM ET,ARS,10.96
M,Anwar El Ghazi (14019769),Anwar El Ghazi,14019769,M/UTIL,6900,AVL vs NOR 10:00AM ET,AVL,10.94
F,Olivier Giroud (14019732),Olivier Giroud,14019732,F/UTIL,6900,CHE vs SOU 10:00AM ET,CHE,2.24
M,Ross Barkley (14019714),Ross Barkley,14019714,M/UTIL,6800,CHE vs SOU 10:00AM ET,CHE,6.83
M/F,Gylfi Sigurdsson (14019843),Gylfi Sigurdsson,14019843,M/F/UTIL,6800,EVE vs BUR 10:00AM ET,EVE,9.17
F,Gerard Deulofeu (14020110),Gerard Deulofeu,14020110,F/UTIL,6800,SHU vs WAT 10:00AM ET,WAT,11.05
M,Conor Hourihane (14019771),Conor Hourihane,14019771,M/UTIL,6700,AVL vs NOR 10:00AM ET,AVL,9.34
F,Danny Ings (14019891),Danny Ings,14019891,F/UTIL,6700,CHE vs SOU 10:00AM ET,SOU,11.98
M,James Ward-Prowse (14019877),James Ward-Prowse,14019877,M/UTIL,6600,CHE vs SOU 10:00AM ET,SOU,13.68
F,Oliver McBurnie (14020276),Oliver McBurnie,14020276,F/UTIL,6600,SHU vs WAT 10:00AM ET,SHU,4.01
M,Luka Milivojevic (14019982),Luka Milivojevic,14019982,M/UTIL,6500,CRY vs WHU 10:00AM ET,CRY,9.88
D,Lucas Digne (14019798),Lucas Digne,14019798,D/UTIL,6500,EVE vs BUR 10:00AM ET,EVE,13.58
M/F,Ismaila Sarr (14020122),Ismaila Sarr,14020122,M/F/UTIL,6500,SHU vs WAT 10:00AM ET,WAT,7.29
F,Lys Mousset (14020278),Lys Mousset,14020278,F/UTIL,6500,SHU vs WAT 10:00AM ET,SHU,7.10
M,Harry Wilson (14020153),Harry Wilson,14020153,M/UTIL,6400,BOU vs ARS 10:00AM ET,BOU,10.69
F,Dominic Calvert-Lewin (14019832),Dominic Calvert-Lewin,14019832,F/UTIL,6400,EVE vs BUR 10:00AM ET,EVE,6.70
M/F,Dwight McNeil (14020232),Dwight McNeil,14020232,M/F/UTIL,6400,EVE vs BUR 10:00AM ET,BUR,11.37
M/F,Reiss Nelson (14019679),Reiss Nelson,14019679,M/F/UTIL,6300,BOU vs ARS 10:00AM ET,ARS,3.63
M, Trezeguet (14019773), Trezeguet,14019773,M/UTIL,6300,AVL vs NOR 10:00AM ET,AVL,8.04
F,Sebastien Haller (14019950),Sebastien Haller,14019950,F/UTIL,6300,CRY vs WHU 10:00AM ET,WHU,9.35
F, Wesley (14019783), Wesley,14019783,F/UTIL,6200,AVL vs NOR 10:00AM ET,AVL,5.95
M/F,Michail Antonio (14019956),Michail Antonio,14019956,M/F/UTIL,6200,CRY vs WHU 10:00AM ET,WHU,7.81
M,Robert Snodgrass (14019928),Robert Snodgrass,14019928,M/UTIL,6100,CRY vs WHU 10:00AM ET,WHU,11.61
F,David McGoldrick (14020280),David McGoldrick,14020280,F/UTIL,6100,SHU vs WAT 10:00AM ET,SHU,6.97
M,Emile Smith Rowe (14019650),Emile Smith Rowe,14019650,M/UTIL,6000,BOU vs ARS 10:00AM ET,ARS,1.9
D,Marcos Alonso (14019688),Marcos Alonso,14019688,D/UTIL,6000,CHE vs SOU 10:00AM ET,CHE,11.17
M,Manuel Lanzini (14019930),Manuel Lanzini,14019930,M/UTIL,6000,CRY vs WHU 10:00AM ET,WHU,8.80
