,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Theo Walcott,EVE,$4600,M/F,160,0.00,0.56,6.19,1.13,0.56,3.94,1.13,1.13,0.00,1.69,27.00
Aaron Connolly,BHA,,,200,0.90,0.00,4.95,2.70,0.00,0.90,1.35,0.45,1.35,3.15,13.50
Tammy Abraham,CHE,$9700,F,666,1.08,0.00,4.05,2.30,0.27,0.27,1.22,0.14,1.08,1.08,15.27
Ross Barkley,CHE,$6400,M,339,0.00,0.00,3.98,1.33,0.80,0.80,2.65,0.53,0.53,0.80,51.50
Neal Maupay,BHA,$7200,F,605,0.45,0.00,3.87,1.34,0.45,0.15,0.89,0.60,0.74,1.34,22.17
Pedro,CHE,$7800,M/F,243,0.00,0.00,3.70,1.48,1.85,1.85,2.96,0.37,0.74,1.48,39.63
Gerard Deulofeu,WAT,$6600,F,535,0.00,0.17,3.70,1.51,0.67,4.71,2.52,0.67,1.18,0.34,34.49
Michail Antonio,WHU,$6200,M/F,125,0.00,0.00,3.60,2.16,1.44,1.44,1.44,0.00,0.72,1.44,26.64
Ashley Barnes,BUR,$6000,F,650,0.55,0.00,3.18,1.25,0.14,0.42,0.14,0.28,1.80,2.49,17.45
Leandro Trossard,BHA,$7500,F,249,0.36,0.00,2.89,1.08,0.00,3.25,2.53,0.36,1.08,0.36,26.02
Willian,CHE,$9500,M/F,505,0.18,0.18,2.85,0.53,0.71,3.39,1.25,1.96,0.53,2.85,46.69
Moise Kean,EVE,$4400,F,288,0.00,0.31,2.81,0.31,0.63,1.56,0.94,0.94,3.44,1.25,14.06
Richarlison,EVE,$6300,M/F,762,0.24,0.24,2.72,0.71,0.59,2.72,0.94,2.36,0.71,2.60,25.98
Andre Gray,WAT,$4800,F,399,0.23,0.00,2.71,0.90,0.23,0.23,1.58,0.45,0.68,0.23,16.47
Lys Mousset,SHU,$7500,F,171,1.05,0.00,2.63,1.05,0.53,0.00,0.53,0.53,2.63,1.05,19.47
Mason Mount,CHE,$8300,M,773,0.47,0.00,2.45,1.16,0.58,5.47,2.10,0.82,0.93,0.58,31.79
Pablo Fornals,WHU,$4500,M,406,0.00,0.00,2.44,0.44,0.44,3.99,1.11,1.33,0.67,1.11,35.25
Dominic Solanke,BOU,$3800,F,444,0.00,0.00,2.43,1.01,0.81,0.20,0.81,0.20,0.20,1.62,25.95
Gylfi Sigurdsson,EVE,$5800,M/F,633,0.14,0.14,2.42,1.00,0.14,4.69,3.13,0.71,0.43,0.71,30.00
Sebastien Haller,WHU,$5500,F,720,0.50,0.13,2.38,1.25,0.75,0.13,1.00,0.88,1.63,1.50,32.13
David McGoldrick,SHU,$6400,F,401,0.00,0.00,2.24,1.12,0.00,0.45,0.00,1.80,2.47,1.80,24.01
Callum Robinson,SHU,$6100,M/F,489,0.18,0.00,2.21,0.74,1.10,1.66,0.00,0.18,1.29,0.55,16.56
Ismaila Sarr,WAT,$5700,M/F,167,0.00,0.00,2.16,0.00,0.00,2.16,1.08,0.00,1.62,1.62,26.41
Andriy Yarmolenko,WHU,$5200,F,503,0.54,0.00,2.15,1.25,0.54,1.25,1.79,0.89,1.61,1.07,36.14
Danny Welbeck,WAT,$5200,F,210,0.00,0.00,2.14,0.86,0.00,0.00,0.86,1.29,0.86,0.86,19.29
Chris Wood,BUR,$6600,F,757,0.48,0.00,2.14,1.07,0.00,0.36,0.59,0.36,0.59,1.07,16.88
Tom Cleverley,WAT,$5100,M,637,0.14,0.00,2.12,0.57,0.99,2.40,1.84,1.13,0.99,0.42,40.55
Felipe Anderson,WHU,$5000,M,596,0.00,0.45,2.11,0.91,1.51,2.42,1.81,2.72,0.91,1.96,57.53
Alex Iwobi,EVE,$4900,M/F,474,0.19,0.00,2.09,0.95,0.19,2.09,1.52,0.95,0.00,0.19,33.04
Harry Wilson,BOU,$4900,M,538,0.50,0.00,2.01,0.84,0.50,1.51,0.84,0.50,0.50,2.01,27.94
Glenn Murray,BHA,$4800,F,269,0.00,0.00,2.01,0.33,0.00,1.00,0.67,0.00,2.68,2.01,19.41
Oliver McBurnie,SHU,$7200,F,465,0.19,0.00,1.94,0.39,0.77,0.19,0.58,0.58,1.74,0.58,21.68
Roberto Pereyra,WAT,$4500,M,528,0.17,0.00,1.88,0.34,0.51,2.05,1.70,0.34,0.68,2.56,41.25
Pascal Gross,BHA,$8000,M/F,626,0.00,0.14,1.87,0.14,0.43,6.18,3.59,0.86,0.86,0.58,49.89
Jay Rodriguez,BUR,$5200,M/F,244,0.37,0.00,1.84,1.11,0.00,0.37,0.37,1.48,1.11,0.74,16.23
Callum Hudson-Odoi,CHE,$8200,F,196,0.00,1.38,1.84,0.46,0.92,4.13,4.13,0.46,0.92,0.46,45.92
Jeff Hendrick,BUR,$3300,M,394,0.46,0.00,1.83,0.69,1.14,0.46,0.23,0.23,0.69,0.23,29.92
Callum Wilson,BOU,$4700,F,788,0.57,0.00,1.83,1.26,0.23,1.03,1.48,0.46,1.94,1.03,14.39
John Fleck,SHU,$6500,M,569,0.00,0.00,1.74,0.47,0.47,5.38,1.90,1.11,0.79,0.00,34.01
Johann Berg Gudmundsson,BUR,$6700,M/F,312,0.29,0.00,1.73,0.58,1.44,5.77,2.02,0.00,0.29,0.29,16.15
Abdoulaye Doucoure,WAT,$3600,M,791,0.11,0.00,1.71,0.46,1.14,0.34,1.25,0.91,1.02,0.34,60.99
Dominic Calvert-Lewin,EVE,$4500,F,480,0.38,0.00,1.69,0.75,0.19,0.38,0.19,0.19,1.88,1.31,15.75
Manuel Lanzini,WHU,$6100,M,629,0.00,0.14,1.57,0.29,0.72,3.43,2.43,0.57,0.14,1.72,51.22
Troy Deeney,WAT,$5300,F,180,0.00,0.00,1.50,1.00,0.00,0.00,1.00,1.00,1.50,1.00,24.00
Emerson Palmieri,CHE,$5500,D,375,0.00,0.00,1.44,0.96,2.40,3.60,1.44,2.16,0.48,1.68,65.04
Christian Pulisic,CHE,$9200,M/F,313,0.00,0.58,1.44,0.58,0.58,1.44,1.73,0.86,0.86,1.44,37.67
Philip Billing,BOU,$3200,M,764,0.00,0.12,1.41,0.12,2.95,0.35,0.47,1.41,1.30,0.47,44.06
Dwight McNeil,BUR,$7300,M/F,789,0.00,0.34,1.37,0.11,0.80,6.16,1.03,1.14,0.68,1.14,21.44
Lucas Digne,EVE,$5700,D,793,0.00,0.23,1.36,0.23,1.25,8.51,2.38,1.36,1.48,0.79,46.76
Solomon March,BHA,$5300,M,471,0.00,0.19,1.34,0.57,1.72,4.01,1.53,0.96,0.57,0.76,39.17
Davy Propper,BHA,$4200,M,630,0.00,0.14,1.29,0.29,1.00,1.29,1.29,1.71,1.71,0.43,56.14
Aaron Cresswell,WHU,$4700,D,354,0.51,0.00,1.27,0.51,1.27,3.05,0.00,1.27,0.51,1.02,35.59
Will Hughes,WAT,$4300,M,430,0.21,0.21,1.26,0.21,1.67,1.05,1.05,1.67,1.67,2.51,29.93
N'Golo Kante,CHE,$5500,M,287,0.63,0.00,1.25,0.63,2.82,0.31,0.31,0.63,2.51,0.63,43.59
Robert Snodgrass,WHU,$6300,M,144,0.00,0.00,1.25,1.25,0.63,8.75,1.25,1.25,1.88,2.50,35.00
Yerry Mina,EVE,$2500,D,809,0.00,0.00,1.22,0.78,1.67,0.22,0.00,0.89,0.56,0.44,54.29
Ryan Fraser,BOU,$5200,M,537,0.17,0.17,1.17,0.34,0.67,8.38,1.17,0.67,0.34,2.01,29.16
Kurt Zouma,CHE,$3700,D,633,0.00,0.00,1.14,0.28,1.71,0.00,0.00,0.43,1.00,0.71,67.39
Nathan Ake,BOU,$3300,D,810,0.11,0.11,1.11,0.22,1.89,0.22,0.44,1.11,0.22,0.67,43.00
Marcos Alonso,CHE,$5700,D,436,0.21,0.41,1.03,0.41,1.24,4.33,1.65,1.65,1.44,0.62,59.04
Dale Stephens,BHA,$4600,M,797,0.00,0.00,1.02,0.23,1.92,0.23,0.56,1.58,1.47,0.45,66.96
Aaron Mooy,BHA,$5200,M,275,0.00,0.00,0.98,0.00,1.31,4.58,0.65,2.29,0.98,0.33,52.04
Joshua King,BOU,$4500,F,736,0.24,0.24,0.98,0.49,0.37,0.37,1.47,0.37,1.35,1.22,23.36
John Lundstram,SHU,$4800,M,780,0.12,0.12,0.92,0.23,1.85,1.85,1.04,0.46,0.92,0.12,43.15
Mark Noble,WHU,$4300,M,593,0.15,0.00,0.91,0.46,0.46,0.46,0.76,1.21,1.67,1.37,51.60
Olivier Giroud,CHE,$7600,F,100,0.00,0.00,0.90,0.90,0.00,0.00,3.60,0.00,3.60,0.90,26.10
Bernard,EVE,$4100,M,420,0.43,0.00,0.86,0.43,0.21,2.36,1.29,1.50,1.29,1.07,32.79
Etienne Capoue,WAT,$4100,M,533,0.00,0.00,0.84,0.17,3.38,0.00,0.34,1.01,1.69,1.35,62.48
Craig Dawson,WAT,$2500,D,753,0.00,0.00,0.84,0.24,0.96,0.00,0.00,0.60,1.08,0.24,45.78
Nathaniel Chalobah,WAT,$3200,M,109,0.00,0.00,0.83,0.00,1.65,0.00,0.00,0.00,0.00,0.00,41.28
Tom Davies,EVE,$3500,M,110,0.00,0.00,0.82,0.82,1.64,0.82,0.00,0.82,2.45,3.27,45.00
Jack Cork,BUR,$3600,M,573,0.00,0.00,0.79,0.31,1.26,0.00,0.63,1.26,1.10,0.79,29.69
Billy Sharp,SHU,$5100,F,117,0.77,0.00,0.77,0.77,0.77,0.77,3.85,1.54,3.85,2.31,33.85
Daryl Janmaat,WAT,$4400,D,353,0.00,0.25,0.76,0.00,0.76,3.82,1.02,1.02,1.02,0.00,47.93
Luke Freeman,SHU,$4400,M,254,0.00,0.00,0.71,0.00,2.83,4.25,0.71,1.42,1.42,1.77,32.60
Jefferson Lerma,BOU,$3600,M,643,0.00,0.00,0.70,0.00,2.24,0.28,0.14,0.70,1.12,1.26,44.79
Jorginho,CHE,$4300,M,774,0.12,0.12,0.70,0.12,2.09,0.35,1.16,1.98,0.93,1.28,74.53
James Tarkowski,BUR,$3500,D,810,0.00,0.00,0.67,0.11,1.67,0.11,0.33,1.22,1.00,1.33,29.33
Adam Webster,BHA,,,540,0.17,0.00,0.67,0.17,1.83,0.50,0.67,0.67,0.67,0.67,67.50
Dan Burn,BHA,,,810,0.00,0.00,0.67,0.00,1.44,1.56,1.00,0.89,1.33,0.56,51.11
Jack O'Connell,SHU,$4000,D,810,0.00,0.11,0.67,0.11,1.56,0.78,0.22,0.56,0.22,0.78,42.22
Chris Mepham,BOU,$3200,D,271,0.33,0.00,0.66,0.33,2.32,0.66,0.00,1.33,1.00,1.00,41.18
Oliver Norwood,SHU,$5600,M,766,0.00,0.00,0.59,0.23,1.53,5.64,2.11,1.41,0.82,0.94,57.22
Enda Stevens,SHU,$5000,D,810,0.00,0.11,0.56,0.00,1.11,3.00,0.89,1.67,1.33,0.56,40.56
Ashley Westwood,BUR,$4000,M,810,0.00,0.22,0.56,0.00,0.67,3.44,1.89,1.22,1.89,0.78,45.44
Ben Mee,BUR,$3200,D,810,0.00,0.00,0.56,0.22,1.78,0.00,0.33,0.44,0.33,0.89,31.56
Declan Rice,WHU,$3400,M,810,0.00,0.00,0.56,0.11,2.22,0.00,0.33,1.89,1.11,0.22,46.56
Seamus Coleman,EVE,$3600,D,667,0.00,0.13,0.54,0.27,1.08,3.10,0.67,0.81,0.94,0.94,47.90
Mateo Kovacic,CHE,$4600,M,521,0.00,0.17,0.52,0.00,0.69,0.17,1.04,2.25,0.17,2.42,65.47
Martin Montoya,BHA,$4700,D,700,0.00,0.00,0.51,0.13,1.03,1.67,0.77,1.54,1.16,1.29,47.44
Jose Holebas,WAT,$5100,D,708,0.00,0.00,0.51,0.25,0.25,5.21,0.89,1.40,1.14,0.25,38.39
Diego Rico,BOU,$4900,D,539,0.00,0.33,0.50,0.00,2.84,7.18,2.17,1.17,0.67,0.67,42.41
Fikayo Tomori,CHE,$3500,D,540,0.17,0.00,0.50,0.17,2.67,0.00,0.33,1.33,0.67,0.83,76.33
Kiko Femenia,WAT,$3800,D,559,0.00,0.00,0.48,0.00,0.97,2.58,1.29,1.45,1.13,0.48,41.22
Erik Pieters,BUR,$3800,D,775,0.00,0.35,0.46,0.00,2.21,2.09,0.93,2.67,0.70,1.05,33.91
Adam Smith,BOU,$3600,D,402,0.00,0.00,0.45,0.22,0.45,1.12,0.22,1.12,1.34,1.57,37.61
Michael Keane,EVE,$3000,D,810,0.00,0.00,0.44,0.11,1.56,0.00,0.11,0.78,0.89,0.33,54.78
George Baldock,SHU,$5400,D,810,0.00,0.11,0.44,0.11,1.00,3.56,0.44,1.22,1.33,0.78,28.33
Issa Diop,WHU,$2700,D,810,0.00,0.00,0.44,0.33,1.56,0.11,0.11,0.78,1.56,0.67,35.33
Arthur Masuaku,WHU,$3600,D,427,0.00,0.21,0.42,0.00,1.90,1.48,1.05,2.53,1.26,1.05,50.59
Morgan Schneiderlin,EVE,$3200,M,476,0.00,0.00,0.38,0.00,1.51,0.76,0.38,1.13,2.08,0.19,57.10
Aaron Lennon,BUR,$3800,M,239,0.00,0.00,0.38,0.00,0.75,1.13,0.00,1.13,1.51,1.51,23.35
Angelo Ogbonna,WHU,$3200,D,720,0.00,0.00,0.38,0.25,0.25,0.13,0.13,1.00,0.75,0.38,33.75
Chris Basham,SHU,$3800,D,778,0.00,0.00,0.35,0.00,1.50,0.69,0.23,1.50,0.46,1.04,33.43
Steven Alzate,BHA,,,277,0.00,0.00,0.32,0.00,0.32,0.00,0.65,1.95,0.65,1.95,38.01
Jack Stacey,BOU,$3700,D,348,0.00,0.00,0.26,0.26,1.29,1.55,0.26,1.55,0.26,0.78,35.69
Christian Kabasele,WAT,$2500,D,360,0.00,0.00,0.25,0.00,3.25,0.00,0.00,1.75,0.25,0.50,25.50
Shane Duffy,BHA,$2500,D,380,0.00,0.00,0.24,0.00,2.13,0.00,0.00,0.95,0.95,1.18,48.32
Lewis Dunk,BHA,$4600,D,810,0.00,0.22,0.22,0.00,2.11,0.00,0.33,0.67,0.78,0.78,63.78
Steve Cook,BOU,$3000,D,810,0.00,0.00,0.22,0.00,1.78,0.00,0.22,0.33,0.56,0.89,40.78
Cesar Azpilicueta,CHE,$4300,D,810,0.00,0.22,0.22,0.00,1.22,3.11,1.33,1.33,1.22,0.33,60.11
John Egan,SHU,$3500,D,810,0.00,0.00,0.22,0.00,2.11,0.22,0.00,1.00,0.89,0.44,34.67
Andre Gomes,EVE,$3000,M,411,0.00,0.00,0.22,0.00,0.44,0.66,1.09,1.31,3.50,1.53,56.06
Fabian Delph,EVE,$3200,M,450,0.00,0.00,0.20,0.00,1.00,0.60,0.60,1.00,1.20,0.60,59.80
Andreas Christensen,CHE,$3400,D,492,0.00,0.00,0.18,0.18,1.28,0.00,0.18,0.55,0.73,0.55,51.59
Matthew Lowton,BUR,$3700,D,810,0.00,0.11,0.11,0.00,1.78,3.33,1.11,1.11,1.11,0.67,30.11
Charlie Daniels,BOU,$3800,D,127,0.00,0.00,0.00,0.00,0.71,3.54,1.42,0.71,0.00,0.00,26.22
Lewis Cook,BOU,$3400,M,181,0.00,0.00,0.00,0.00,2.49,0.00,0.00,0.00,0.99,0.99,43.76
Djibril Sidibe,EVE,$3800,D,121,0.00,0.00,0.00,0.00,0.74,4.46,0.74,2.98,1.49,0.00,46.12
Jean-Philippe Gbamin,EVE,$3000,M,135,0.00,0.00,0.00,0.00,0.67,0.00,0.00,2.00,1.33,1.33,46.67
Adrian Mariappa,WAT,$3100,D,90,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,39.00
Craig Cathcart,WAT,$2700,D,630,0.00,0.00,0.00,0.00,0.57,0.00,0.00,1.00,0.71,0.14,45.57
Jack Wilshere,WHU,$4000,M,175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.57,32.91
Ryan Fredericks,WHU,$3900,D,800,0.00,0.11,0.00,0.00,1.01,1.91,1.01,1.69,1.01,0.68,37.13
Fabian Balbuena,WHU,$3100,D,91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,39.56
