,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Michy Batshuayi,CHE,$7700,F,119,0.76,0.76,9.08,1.51,0.00,0.00,2.27,0.76,1.51,1.51,37.06
Mario Vrancic,NOR,$4500,M,110,0.00,0.00,4.09,0.82,0.00,0.00,3.27,1.64,1.64,1.64,79.36
Ross Barkley,CHE,$6800,M,339,0.00,0.00,3.98,1.33,0.80,0.80,2.65,0.53,0.53,0.80,51.50
Tammy Abraham,CHE,$9000,F,1312,0.75,0.21,3.70,1.65,0.27,0.41,1.10,0.14,0.69,0.89,16.46
Pedro,CHE,$7600,M/F,306,0.00,0.00,3.53,1.47,2.35,2.06,2.65,0.59,0.59,1.47,38.24
Alexandre Lacazette,ARS,$8400,F,677,0.66,0.13,3.46,1.73,0.40,0.93,1.46,0.80,1.73,1.60,26.06
Cenk Tosun,EVE,$6000,F,290,0.31,0.00,3.41,0.93,0.00,0.62,1.24,0.00,1.24,1.24,18.00
Theo Walcott,EVE,$5900,M/F,526,0.00,0.17,3.25,0.86,0.68,2.74,1.20,0.51,0.68,1.71,21.39
Michail Antonio,WHU,$6200,M/F,426,0.21,0.00,3.17,1.69,0.63,1.69,1.27,0.63,2.11,1.90,26.20
Christian Pulisic,CHE,$8600,M/F,987,0.46,0.18,3.10,1.28,0.27,2.10,1.64,0.36,0.46,1.19,36.20
Callum Hudson-Odoi,CHE,$8200,F,298,0.00,0.91,3.02,0.60,0.60,5.44,3.02,0.60,1.51,1.51,48.32
Moise Kean,EVE,$5400,F,359,0.00,0.25,3.01,0.50,0.50,1.50,0.75,0.75,3.76,1.00,14.29
Trezeguet,AVL,$6300,M,908,0.30,0.10,2.97,0.89,1.19,3.57,0.89,0.59,1.69,1.88,18.24
Willian,CHE,$10200,M/F,1188,0.30,0.23,2.88,0.91,0.83,5.76,2.27,1.21,0.45,2.20,45.83
Mason Mount,CHE,$7700,M,1506,0.30,0.06,2.87,1.02,0.48,4.42,1.61,0.54,1.14,0.96,36.45
Teemu Pukki,NOR,$7100,F,1606,0.50,0.17,2.86,1.51,0.22,0.28,1.18,0.22,0.84,0.39,16.31
Danny Ings,SOU,$6700,F,1260,0.79,0.07,2.86,1.29,0.29,0.93,1.14,0.71,1.14,0.71,18.64
Nicolas Pepe,ARS,$8000,F,1010,0.18,0.18,2.85,0.89,0.45,5.17,1.60,0.98,0.80,1.25,34.49
David McGoldrick,SHU,$6100,F,1077,0.00,0.17,2.84,1.34,0.25,0.42,0.75,1.75,1.42,1.17,28.58
Sofiane Boufal,SOU,$5600,M,483,0.00,0.37,2.80,1.12,0.19,2.61,2.05,1.12,3.54,2.42,33.17
Ashley Barnes,BUR,$5100,F,1232,0.44,0.00,2.78,0.88,0.44,0.29,0.29,0.29,2.26,2.70,16.66
Christian Benteke,CRY,$5200,F,487,0.00,0.00,2.77,1.66,0.55,0.37,1.48,0.92,2.22,1.66,26.06
Harry Wilson,BOU,$6400,M,881,0.61,0.00,2.76,1.02,0.41,1.84,0.82,0.72,0.31,2.04,31.06
Gerard Deulofeu,WAT,$6800,F,1289,0.14,0.14,2.65,1.19,0.98,5.38,1.96,0.84,0.91,0.84,31.21
Lys Mousset,SHU,$6500,F,684,0.66,0.39,2.63,0.66,0.26,0.13,1.05,0.53,1.84,0.66,17.11
Pierre-Emerick Aubameyang,ARS,$8700,F,1608,0.62,0.06,2.57,1.06,0.22,2.74,0.78,0.28,0.39,0.50,22.22
Richarlison,EVE,$7500,M/F,1552,0.35,0.12,2.55,0.87,0.35,2.03,1.04,1.57,0.93,2.20,23.66
Anwar El Ghazi,AVL,$6900,M,1096,0.25,0.33,2.55,1.07,0.57,4.76,1.72,0.66,0.99,0.82,22.25
Ismaila Sarr,WAT,$6500,M/F,637,0.28,0.00,2.54,0.71,0.28,3.39,0.85,0.14,1.13,1.98,20.77
Che Adams,SOU,$4400,F,490,0.00,0.00,2.39,0.37,0.18,1.29,1.10,0.00,1.47,0.37,17.45
