,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Gabriel Jesus,MCI,$8300,F,126,0.71,0.71,6.43,2.14,0.71,0.00,0.71,0.00,2.86,1.43,20.00
Sergio Aguero,MCI,$9200,F,357,1.76,0.25,4.79,2.02,0.25,0.00,1.76,0.25,0.25,0.50,20.17
Gerard Deulofeu,WAT,$6600,F,296,0.00,0.30,4.56,1.52,0.61,5.47,3.65,0.91,1.52,0.00,43.18
Bernardo Silva,MCI,$8100,M/F,244,0.37,0.37,4.43,0.74,1.48,4.80,1.48,1.11,2.21,0.74,48.32
Tom Cleverley,WAT,$5100,M,277,0.32,0.00,4.22,0.97,0.32,3.25,2.60,0.97,1.62,0.65,48.09
Raheem Sterling,MCI,$8500,M/F,450,1.00,0.00,3.60,1.60,0.40,1.80,1.60,1.00,1.40,0.80,33.00
Ashley Barnes,BUR,$6000,F,415,0.87,0.00,3.47,1.73,0.22,0.22,0.00,0.00,1.73,3.04,18.22
Teemu Pukki,NOR,$5400,F,443,1.22,0.41,3.45,2.44,0.20,0.41,1.02,0.81,0.61,0.41,11.38
Neal Maupay,BHA,$7200,F,273,0.66,0.00,3.30,1.32,0.00,0.33,0.66,0.99,0.66,1.65,19.78
Richarlison,EVE,$6300,M/F,402,0.45,0.22,3.13,0.67,0.90,2.46,1.12,2.69,1.12,2.69,27.54
Kevin De Bruyne,MCI,$10100,M,361,0.25,1.25,2.99,0.75,1.00,10.97,4.74,1.50,1.00,0.75,53.60
Leandro Trossard,BHA,$7500,F,249,0.36,0.00,2.89,1.08,0.00,3.25,2.53,0.36,1.08,0.36,26.02
Roberto Pereyra,WAT,$4500,M,252,0.36,0.00,2.86,0.71,0.71,1.07,1.79,0.71,0.71,2.50,48.21
David McGoldrick,SHU,$6400,F,323,0.00,0.00,2.79,1.39,0.00,0.56,0.00,2.23,1.95,1.95,24.24
Alex Iwobi,EVE,$4900,M/F,195,0.46,0.00,2.77,1.38,0.00,1.85,0.92,1.38,0.00,0.00,30.92
John Fleck,SHU,$6500,M,209,0.00,0.00,2.58,0.43,0.00,6.03,2.58,0.86,0.86,0.00,40.48
Callum Robinson,SHU,$6100,M/F,296,0.30,0.00,2.43,0.61,1.52,1.82,0.00,0.30,2.13,0.30,19.46
Andre Gray,WAT,$4800,F,308,0.29,0.00,2.34,0.58,0.00,0.29,1.17,0.29,0.88,0.00,13.44
Moise Kean,EVE,$4400,F,162,0.00,0.56,2.22,0.00,0.56,0.56,1.11,1.11,2.78,2.22,13.89
Joelinton,NEW,$5700,F,425,0.21,0.00,2.12,0.64,0.42,0.00,1.27,0.85,0.85,0.64,28.59
Abdoulaye Doucoure,WAT,$3600,M,431,0.00,0.00,2.09,0.42,1.67,0.00,2.09,1.04,0.84,0.63,63.90
Gylfi Sigurdsson,EVE,$5800,M/F,391,0.00,0.23,2.07,0.69,0.00,3.45,2.53,0.46,0.69,0.92,29.00
Riyad Mahrez,MCI,$9000,M/F,218,0.00,0.83,2.06,1.24,2.06,3.30,4.54,1.65,0.83,1.24,47.48
