,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Harry Kane,TOT,SOU,$8700,F,-150,60.00
Tammy Abraham,CHE,BHA,$9700,F,100,50.00
Michy Batshuayi,CHE,BHA,$9000,F,110,47.62
Olivier Giroud,CHE,BHA,$7600,F,110,47.62
Callum Wilson,BOU,WHU,$4700,F,110,47.62
Patrick Cutrone,WLV,WAT,$6300,F,130,43.48
Sebastien Haller,WHU,BOU,$5500,F,130,43.48
Raul Jimenez,WLV,WAT,$7800,F,130,43.48
Troy Parrott,TOT,SOU,$4700,F,137,42.19
Dominic Solanke,BOU,WHU,$3800,F,140,41.67
Willian,CHE,BHA,$9500,M/F,150,40.00
Son Heung-Min,TOT,SOU,$8600,M/F,150,40.00
Callum Hudson-Odoi,CHE,BHA,$8200,F,150,40.00
Mason Mount,CHE,BHA,$8300,M,150,40.00
Lucas Moura,TOT,SOU,$6200,M/F,150,40.00
Christian Benteke,CRY,NOR,$4900,F,160,38.46
Joshua King,BOU,WHU,$4500,F,160,38.46
Teemu Pukki,NOR,CRY,$5400,F,160,38.46
Pedro Neto,WLV,WAT,$5600,F,162,38.17
Wesley Moraes,AVL,BUR,$4900,F,175,36.36
Christian Pulisic,CHE,BHA,$9200,M/F,175,36.36
Albian Ajeti,WHU,BOU,$4800,F,187,34.84
Jordan Ayew,CRY,NOR,$5500,F,187,34.84
Luka Milivojevic,CRY,NOR,$6600,M,187,34.84
Pedro,CHE,BHA,$7800,M/F,187,34.84
Andros Townsend,CRY,NOR,$5700,M/F,187,34.84
Connor Wickham,CRY,NOR,$3600,F,187,34.84
Wilfried Zaha,CRY,NOR,$7500,M/F,187,34.84
Ross Barkley,CHE,BHA,$6400,M,200,33.33
Christian Eriksen,TOT,SOU,$6500,M,200,33.33
Morgan Gibbs-White,WLV,WAT,$3000,M,200,33.33
Diogo Jota,WLV,WAT,$7000,M/F,200,33.33
Erik Lamela,TOT,SOU,$6700,M/F,200,33.33
Ashley Barnes,BUR,AVL,$6000,F,210,32.26
Lewis Richardson,BUR,AVL,$3100,M,210,32.26
Harry Wilson,BOU,WHU,$4900,M,210,32.26
Chris Wood,BUR,AVL,$6600,F,210,32.26
Felipe Anderson,WHU,BOU,$5000,M,220,31.25
Josip Drmic,NOR,CRY,$4200,F,225,30.77
Adam Idah,NOR,CRY,$3600,F,225,30.77
Jay Rodriguez,BUR,AVL,$5200,M/F,225,30.77
Matej Vydra,BUR,AVL,$4600,F,225,30.77
Keinan Davis,AVL,BUR,$4300,M/F,240,29.41
Glenn Murray,BHA,CHE,$4800,F,240,29.41
Andriy Yarmolenko,WHU,BOU,$5200,F,240,29.41
Dele Alli,TOT,SOU,$7500,M,250,28.57
Pablo Fornals,WHU,BOU,$4500,M,260,27.78
Cameron Archer,AVL,BUR,$4000,F,275,26.67
Ryan Fraser,BOU,WHU,$5200,M,275,26.67
Andre Gray,WAT,WLV,$4800,F,275,26.67
Manuel Lanzini,WHU,BOU,$6100,M,275,26.67
Mark Noble,WHU,BOU,$4300,M,275,26.67
Jota,AVL,BUR,$4600,M/F,275,26.67
Robert Snodgrass,WHU,BOU,$6300,M,275,26.67
Dennis Srbeny,NOR,CRY,$3900,F,275,26.67
Che Adams,SOU,TOT,$5600,F,300,25.00
Emiliano Buendia,NOR,CRY,$6200,M,300,25.00
Gerard Deulofeu,WAT,WLV,$6600,F,300,25.00
Anwar El Ghazi,AVL,BUR,$6800,M,300,25.00
Jorginho,CHE,BHA,$4300,M,300,25.00
Billy Gilmour,CHE,BHA,$3900,M,300,25.00
Danny Ings,SOU,TOT,$8500,F,300,25.00
Neal Maupay,BHA,CHE,$7200,F,300,25.00
Ismaila Sarr,WAT,WLV,$5700,M/F,300,25.00
Isaac Success,WAT,WLV,$3900,F,300,25.00
Danny Welbeck,WAT,WLV,$5200,F,300,25.00
