,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Harry Kane,TOT,WAT,$8700,F,-188,65.28
Tammy Abraham,CHE,NEW,$9700,F,-150,60.00
Jamie Vardy,LEI,BUR,$10800,F,-120,54.55
Callum Wilson,BOU,NOR,$4700,F,-110,52.38
Michy Batshuayi,CHE,NEW,$9000,F,-105,51.22
Olivier Giroud,CHE,NEW,$7600,F,-105,51.22
Dominic Solanke,BOU,NOR,$3800,F,105,48.78
Son Heung-Min,TOT,WAT,$8600,M/F,130,43.48
Joshua King,BOU,NOR,$4500,F,130,43.48
Troy Parrott,TOT,WAT,$4700,F,130,43.48
Teemu Pukki,NOR,BOU,$5400,F,130,43.48
Raul Jimenez,WLV,SOU,$7800,F,137,42.19
Kelechi Iheanacho,LEI,BUR,$8100,F,140,41.67
Callum Hudson-Odoi,CHE,NEW,$8200,F,150,40.00
Mason Mount,CHE,NEW,$8300,M,150,40.00
Lucas Moura,TOT,WAT,$6200,M/F,150,40.00
Glenn Murray,BHA,AVL,$4800,F,150,40.00
Harry Wilson,BOU,NOR,$4900,M,160,38.46
Willian,CHE,NEW,$9500,M/F,162,38.17
Neal Maupay,BHA,AVL,$7200,F,162,38.17
Wesley Moraes,AVL,BHA,$4900,F,162,38.17
Christian Pulisic,CHE,NEW,$9200,M/F,162,38.17
Pedro,CHE,NEW,$7800,M/F,162,38.17
Romaric Yapi,BHA,AVL,,,162,38.17
Patrick Cutrone,WLV,SOU,$6300,F,175,36.36
James Maddison,LEI,BUR,$10300,M,175,36.36
Pedro Neto,WLV,SOU,$5600,F,175,36.36
Dele Alli,TOT,WAT,$7500,M,187,34.84
Christian Eriksen,TOT,WAT,$6500,M,187,34.84
Morgan Gibbs-White,WLV,SOU,$3000,M,187,34.84
Diogo Jota,WLV,SOU,$7000,M/F,187,34.84
Erik Lamela,TOT,WAT,$6700,M/F,187,34.84
Bojan Radulovic,BHA,AVL,,,187,34.84
Josip Drmic,NOR,BOU,$4200,F,200,33.33
Aaron Connolly,BHA,AVL,,,220,31.25
Jonathan Kodjia,AVL,BHA,$4400,F,220,31.25
Ayoze Perez,LEI,BUR,$7700,M/F,220,31.25
Leandro Trossard,BHA,AVL,$7500,F,220,31.25
Ross Barkley,CHE,NEW,$6400,M,225,30.77
Jorginho,CHE,NEW,$4300,M,225,30.77
Keinan Davis,AVL,BHA,$4300,M/F,240,29.41
Ryan Fraser,BOU,NOR,$5200,M,240,29.41
Trezeguet,AVL,BHA,$5300,M,240,29.41
Demarai Gray,LEI,BUR,$3900,M,250,28.57
Todd Cantwell,NOR,BOU,$4500,M,260,27.78
Alireza Jahanbakhsh,BHA,AVL,$4100,M/F,260,27.78
Dennis Srbeny,NOR,BOU,$3900,F,260,27.78
Harvey Barnes,LEI,BUR,$5900,M,275,26.67
Anwar El Ghazi,AVL,BHA,$6800,M,275,26.67
Andre Gray,WAT,TOT,$4800,F,275,26.67
Danny Ings,SOU,WLV,$8500,F,275,26.67
Jota,AVL,BHA,$4600,M/F,275,26.67
Ismaila Sarr,WAT,TOT,$5700,M/F,275,26.67
Ashley Barnes,BUR,LEI,$6000,F,300,25.00
Emiliano Buendia,NOR,BOU,$6200,M,300,25.00
Joelinton,NEW,CHE,$5700,F,300,25.00
Gerard Deulofeu,WAT,TOT,$6600,F,300,25.00
Jordon Ibe,BOU,NOR,$3500,M/F,300,25.00
Isaac Success,WAT,TOT,$3900,F,300,25.00
Danny Welbeck,WAT,TOT,$5200,F,300,25.00
Ashley Westwood,BUR,LEI,$4000,M,300,25.00
