,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Tammy Abraham,CHE,AVL,$9700,F,-240,70.59
Jamie Vardy,LEI,WAT,$10800,F,-175,63.64
Olivier Giroud,CHE,AVL,$7600,F,-145,59.18
Mohamed Salah,LIV,EVE,$9800,M/F,-140,58.33
Danny Ings,SOU,NOR,$8500,F,-135,57.45
Michy Batshuayi,CHE,AVL,$9000,F,-130,56.52
Kelechi Iheanacho,LEI,WAT,$8100,F,-120,54.55
Sadio Mane,LIV,EVE,$10000,M/F,-105,51.22
Raul Jimenez,WLV,WHU,$7800,F,-100,50.00
Divock Origi,LIV,EVE,$8000,F,-100,50.00
Roberto Firmino,LIV,EVE,$8500,M/F,110,47.62
Harry Kane,TOT,MUN,$8700,F,115,46.51
Patrick Cutrone,WLV,WHU,$6300,F,135,42.55
Willian,CHE,AVL,$9500,M/F,135,42.55
Callum Hudson-Odoi,CHE,AVL,$8200,F,135,42.55
Teemu Pukki,NOR,SOU,$5400,F,145,40.82
Pedro,CHE,AVL,$7800,M/F,145,40.82
Shane Long,SOU,NOR,$6300,F,150,40.00
Christian Pulisic,CHE,AVL,$9200,M/F,150,40.00
Marcus Rashford,MUN,TOT,$8200,F,150,40.00
Anthony Martial,MUN,TOT,$7100,M/F,155,39.22
Mason Mount,CHE,AVL,$8300,M,155,39.22
Diogo Jota,WLV,WHU,$7000,M/F,160,38.46
James Ward-Prowse,SOU,NOR,$8000,M,160,38.46
Rhian Brewster,LIV,EVE,$7200,F,165,37.74
Xherdan Shaqiri,LIV,EVE,$6900,M/F,165,37.74
Mason Greenwood,MUN,TOT,$6400,F,180,35.71
Son Heung-Min,TOT,MUN,$8600,M/F,190,34.48
James Maddison,LEI,WAT,$10300,M,195,33.90
Pedro Neto,WLV,WHU,$5600,F,195,33.90
Che Adams,SOU,NOR,$5600,F,200,33.33
Paul Pogba,MUN,TOT,$6500,M,200,33.33
Ross Barkley,CHE,AVL,$6400,M,210,32.26
Demarai Gray,LEI,WAT,$3900,M,210,32.26
Ayoze Perez,LEI,WAT,$7700,M/F,210,32.26
Dennis Srbeny,NOR,SOU,$3900,F,210,32.26
Youri Tielemans,LEI,WAT,$7200,M,210,32.26
Lucas Moura,TOT,MUN,$6200,M/F,220,31.25
Michael Obafemi,SOU,NOR,$5300,F,220,31.25
Nathan Redmond,SOU,NOR,$5500,M/F,220,31.25
Harvey Barnes,LEI,WAT,$5900,M,230,30.30
Alex Oxlade-Chamberlain,LIV,EVE,$6500,M/F,240,29.41
Sebastien Haller,WHU,WLV,$5500,F,250,28.57
Moussa Djenepo,SOU,NOR,$5800,M,260,27.78
Daniel James,MUN,TOT,$6700,M,270,27.03
Adam Lallana,LIV,EVE,$4900,M,280,26.32
Adama Traore,WLV,WHU,$6600,M/F,280,26.32
Albian Ajeti,WHU,WLV,$4800,F,290,25.64
Michail Antonio,WHU,WLV,$6200,M/F,290,25.64
Christian Eriksen,TOT,MUN,$6500,M,290,25.64
Jorginho,CHE,AVL,$4300,M,290,25.64
Billy Gilmour,CHE,AVL,$3900,M,300,25.00
Moise Kean,EVE,LIV,$4400,F,300,25.00
James Milner,LIV,EVE,$5900,M,300,25.00
Dominic Calvert-Lewin,EVE,LIV,$4500,F,310,24.39
Jesse Lingard,MUN,TOT,$4200,M,310,24.39
Dele Alli,TOT,MUN,$7500,M,320,23.81
Richarlison,EVE,LIV,$6300,M/F,320,23.81
Troy Deeney,WAT,LEI,$5300,F,320,23.81
Erik Lamela,TOT,MUN,$6700,M/F,320,23.81
Sofiane Boufal,SOU,NOR,$6600,M,330,23.26
Todd Cantwell,NOR,SOU,$4500,M,330,23.26
Matt Doherty,WLV,WHU,$4000,D,330,23.26
Morgan Gibbs-White,WLV,WHU,$3000,M,330,23.26
Pierre-Emile Hojbjerg,SOU,NOR,$4500,M,330,23.26
Andre Gray,WAT,LEI,$4800,F,340,22.73
Gylfi Sigurdsson,EVE,LIV,$5800,M/F,340,22.73
Cenk Tosun,EVE,LIV,$4700,F,340,22.73
Georginio Wijnaldum,LIV,EVE,$4300,M,340,22.73
Andriy Yarmolenko,WHU,WLV,$5200,F,340,22.73
Gerard Deulofeu,WAT,LEI,$6600,F,350,22.22
Onel Hernandez,NOR,SOU,$3900,M,350,22.22
Ruben Neves,WLV,WHU,$3200,M,350,22.22
Ismaila Sarr,WAT,LEI,$5700,M/F,350,22.22
Jonathan Kodjia,AVL,CHE,$4400,F,360,21.74
Taylor Perry,WLV,WHU,$3000,M,360,21.74
Tahith Chong,MUN,TOT,$4800,M,380,20.83
Marc Albrighton,LEI,WAT,$5100,M,390,20.41
Naby Keita,LIV,EVE,$4600,M,410,19.61
John McGinn,AVL,CHE,$6000,M,410,19.61
Dennis Praet,LEI,WAT,$4600,M,410,19.61
Patrick Roberts,NOR,SOU,$3200,M,410,19.61
Emiliano Buendia,NOR,SOU,$6200,M,420,19.23
N'Golo Kante,CHE,AVL,$5500,M,430,18.87
Giovani Lo Celso,TOT,MUN,$5900,M,430,18.87
Isaac Success,WAT,LEI,$3900,F,430,18.87
Robert Snodgrass,WHU,WLV,$6300,M,440,18.52
Felipe Anderson,WHU,WLV,$5000,M,460,17.86
Marcos Alonso,CHE,AVL,$5700,D,480,17.24
Anthony Gordon,EVE,LIV,$3600,M,480,17.24
Mario Vrancic,NOR,SOU,$4000,M,490,16.95
Trent Alexander-Arnold,LIV,EVE,$7300,D,500,16.67
Bernard,EVE,LIV,$4100,M,500,16.67
Luke Cundle,WLV,WHU,$3000,M,500,16.67
Abdoulaye Doucoure,WAT,LEI,$3600,M,500,16.67
Anwar El Ghazi,AVL,CHE,$6800,M,500,16.67
Pablo Fornals,WHU,WLV,$4500,M,500,16.67
Jack Grealish,AVL,CHE,$8700,M,500,16.67
Trezeguet,AVL,CHE,$5300,M,500,16.67
Conor Hourihane,AVL,CHE,$5700,M,500,16.67
Alex Iwobi,EVE,LIV,$4900,M/F,500,16.67
Dylan Levitt,MUN,TOT,,,500,16.67
Juan Mata,MUN,TOT,$3400,M,500,16.67
Joao Moutinho,WLV,WHU,$6000,M,500,16.67
Virgil van Dijk,LIV,EVE,$4100,D,500,16.67
Jordan Henderson,LIV,EVE,$5100,M,550,15.38
Mateo Kovacic,CHE,AVL,$4600,M,550,15.38
Scott McTominay,MUN,TOT,$4600,M,550,15.38
Tanguy Ndombele,TOT,MUN,$5200,M,550,15.38
Jota,AVL,CHE,$4600,M/F,550,15.38
Roberto Pereyra,WAT,LEI,$4500,M,550,15.38
Marco Stiepermann,NOR,SOU,$3900,M,550,15.38
Theo Walcott,EVE,LIV,$4600,M/F,550,15.38
James Garner,MUN,TOT,$3000,M,600,14.29
Kenny McLean,NOR,SOU,$4200,M,600,14.29
Andreas Pereira,MUN,TOT,$5100,M,600,14.29
Henri Lansbury,AVL,CHE,$4100,M,650,13.33
Wilfred Ndidi,LEI,WAT,$4100,M,650,13.33
Mark Noble,WHU,WLV,$4300,M,650,13.33
Romain Saiss,WLV,WHU,$3000,M,650,13.33
Ricardo Pereira,LEI,WAT,$5600,D,700,12.50
Tom Cleverley,WAT,LEI,$5100,M,750,11.76
Domingos Quina,WAT,LEI,$3200,M,750,11.76
Ashley Young,MUN,TOT,$4600,D,750,11.76
Hamza Choudhury,LEI,WAT,$3100,M,800,11.11
Aaron Cresswell,WHU,WLV,$4700,D,800,11.11
Will Hughes,WAT,LEI,$4300,M,800,11.11
Reece James,CHE,AVL,$5200,D,800,11.11
Harry Maguire,MUN,TOT,$3100,D,800,11.11
Oriol Romeu,SOU,NOR,$3900,M,800,11.11
Ruben Vinagre,WLV,WHU,$3200,D,800,11.11
Etienne Capoue,WAT,LEI,$4100,M,850,10.53
Leander Dendoncker,WLV,WHU,$3400,M,850,10.53
Lucas Digne,EVE,LIV,$5700,D,850,10.53
Jose Holebas,WAT,LEI,$5100,D,850,10.53
Nemanja Matic,MUN,TOT,$3400,M,850,10.53
Fred,MUN,TOT,$3900,M,850,10.53
Ryan Sessegnon,TOT,MUN,$3200,M,850,10.53
Moussa Sissoko,TOT,MUN,$4300,M,850,10.53
Cedric Soares,SOU,NOR,$4100,D,850,10.53
Douglas Luiz,AVL,CHE,$3800,M,850,10.53
Jonny Evans,LEI,WAT,$4400,D,900,10.00
Eric Dier,TOT,MUN,$3000,M,950,9.52
Kurt Zouma,CHE,AVL,$3700,D,950,9.52
Leighton Baines,EVE,LIV,$3300,D,1000,9.09
Ben Chilwell,LEI,WAT,$5300,D,1000,9.09
Tom Davies,EVE,LIV,$3500,M,1000,9.09
Tom Dele-Bashiru,WAT,LEI,$3000,M,1000,9.09
Fabian Delph,EVE,LIV,$3200,M,1000,9.09
Christian Fuchs,LEI,WAT,$4500,D,1000,9.09
