,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Manchester City,Southampton,H,86.06,10.36,52.92,2.73,0.65,3.38
Liverpool,Aston Villa,A,70.68,18.85,41.72,2.21,0.89,3.10
Arsenal,Wolverhampton,H,56.84,22.32,34.23,1.80,1.11,2.91
Brighton & Hove Albion,Norwich City,H,54.30,23.41,32.89,1.80,1.13,2.93
West Ham United,Newcastle United,H,50.63,25.98,33.97,1.65,1.11,2.77
Sheffield United,Burnley,H,44.52,28.77,35.49,1.39,1.05,2.44
Burnley,Sheffield United,A,26.71,28.77,25.54,1.05,1.39,2.44
Newcastle United,West Ham United,A,23.38,25.98,19.64,1.11,1.65,2.77
Norwich City,Brighton & Hove Albion,A,22.30,23.41,16.24,1.13,1.80,2.93
Wolverhampton,Arsenal,A,20.83,22.32,16.24,1.11,1.80,2.91
Aston Villa,Liverpool,H,10.47,18.85,8.99,0.89,2.21,3.10
Southampton,Manchester City,A,3.59,10.36,4.19,0.65,2.73,3.38
