,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Gabriel Jesus,MCI,$8300,F,387,0.70,0.23,6.05,2.33,0.70,0.00,1.16,0.00,1.86,1.63,22.79
Sergio Aguero,MCI,$9200,F,575,1.25,0.31,4.70,1.41,0.31,0.16,1.57,0.31,0.31,0.47,22.70
Alexandre Lacazette,ARS,$7700,F,258,0.70,0.00,4.53,2.44,0.35,0.00,1.40,0.35,1.40,2.09,27.21
Neal Maupay,BHA,$7200,F,695,0.52,0.00,3.76,1.29,0.39,0.26,1.04,0.52,0.91,1.55,22.66
Mohamed Salah,LIV,$9800,M/F,792,0.57,0.34,3.75,1.82,0.11,2.05,1.93,0.23,0.80,0.91,30.68
Raheem Sterling,MCI,$8500,M/F,792,0.80,0.11,3.75,1.36,0.45,1.93,2.16,0.91,1.14,0.91,37.27
Michail Antonio,WHU,$6200,M/F,125,0.00,0.00,3.60,2.16,1.44,1.44,1.44,0.00,0.72,1.44,26.64
Bernardo Silva,MCI,$8100,M/F,554,0.65,0.32,3.57,1.30,0.97,4.39,2.11,0.97,1.46,0.97,51.82
Danny Ings,SOU,$8500,F,581,0.62,0.15,3.56,1.24,0.15,0.77,1.39,1.08,0.93,0.93,18.28
Aaron Connolly,BHA,,,280,0.64,0.00,3.54,1.93,0.00,0.96,0.96,0.32,0.96,3.86,11.89
Roberto Firmino,LIV,$8500,M/F,834,0.32,0.32,3.45,1.40,0.11,0.00,1.29,0.76,0.97,0.65,33.35
Ashley Barnes,BUR,$6000,F,713,0.50,0.00,3.41,1.26,0.25,0.38,0.25,0.25,1.77,2.65,17.17
Anwar El Ghazi,AVL,$6800,M,570,0.32,0.47,3.32,1.26,0.63,4.42,1.26,0.47,0.79,0.63,24.32
Nicolas Pepe,ARS,$7300,F,729,0.12,0.25,3.21,0.99,0.49,6.30,2.10,1.23,0.62,0.37,33.33
John McGinn,AVL,$6000,M,900,0.30,0.10,3.20,1.40,1.00,2.50,1.40,1.70,1.20,2.80,28.20
Lucas Torreira,ARS,$3700,M,202,0.45,0.00,3.12,1.34,1.34,3.12,1.78,2.23,1.34,4.46,41.88
Riyad Mahrez,MCI,$9000,M/F,458,0.39,0.59,2.95,1.97,1.18,3.54,3.93,0.98,0.39,1.38,52.07
Moussa Djenepo,SOU,$5800,M,124,1.45,0.00,2.90,2.18,0.73,0.73,0.73,3.63,2.18,3.63,26.85
Patrick Cutrone,WLV,$6300,F,282,0.32,0.00,2.87,0.64,0.32,1.60,0.64,0.64,1.60,2.87,15.32
Teemu Pukki,NOR,$5400,F,887,0.61,0.20,2.84,1.62,0.20,0.20,1.22,0.41,1.01,0.41,14.10
Pierre-Emerick Aubameyang,ARS,$7900,F,900,0.70,0.00,2.80,1.10,0.30,2.40,0.80,0.30,0.50,0.50,22.40
Trezeguet,AVL,$5300,M,517,0.00,0.17,2.79,0.87,1.04,3.48,1.22,0.70,1.91,2.09,20.37
Alex Oxlade-Chamberlain,LIV,$6500,M/F,227,0.00,0.00,2.78,0.40,0.79,1.98,0.79,0.79,0.79,0.40,57.49
Lys Mousset,SHU,$7500,F,198,1.36,0.00,2.73,1.36,0.45,0.00,0.45,0.45,2.27,0.91,19.09
Kevin De Bruyne,MCI,$10100,M,696,0.26,1.16,2.72,0.52,0.52,10.09,4.66,0.91,0.91,0.91,53.92
Leandro Trossard,BHA,$7500,F,273,0.33,0.00,2.64,0.99,0.00,3.63,2.64,0.33,0.99,0.33,26.70
James Milner,LIV,$5900,M,239,0.38,0.75,2.64,0.75,0.75,0.38,1.51,0.75,1.13,0.75,64.39
Sofiane Boufal,SOU,$6600,M,384,0.00,0.47,2.58,1.17,0.23,3.05,1.88,0.94,2.58,2.11,31.88
Che Adams,SOU,$5600,F,458,0.00,0.00,2.55,0.39,0.20,1.18,1.18,0.00,1.18,0.39,16.70
Nathan Redmond,SOU,$5500,M/F,709,0.13,0.00,2.54,0.63,0.38,1.14,1.02,0.89,0.89,1.02,32.37
David McGoldrick,SHU,$6400,F,482,0.00,0.00,2.43,1.31,0.00,0.56,0.19,1.49,2.05,1.68,24.09
Conor Hourihane,AVL,$5700,M,337,0.27,0.27,2.40,1.07,0.53,5.34,2.40,0.80,1.34,1.07,37.12
