,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Gerard Deulofeu,WAT,$6600,F,373,0.00,0.24,4.34,1.93,0.72,5.31,2.90,0.72,1.21,0.00,37.64
Ross Barkley,CHE,$6400,M,228,0.00,0.00,4.34,1.58,0.79,1.18,3.16,0.00,0.79,0.79,51.32
Neal Maupay,BHA,$7200,F,355,0.51,0.00,4.31,1.27,0.00,0.25,0.51,0.76,0.51,1.27,19.52
Son Heung-Min,TOT,$8600,M/F,349,0.52,0.26,4.13,1.81,0.52,1.29,2.06,0.26,0.77,0.77,37.13
Tammy Abraham,CHE,$9700,F,408,1.54,0.00,3.97,1.99,0.22,0.00,1.32,0.22,1.32,0.66,18.09
Ashley Barnes,BUR,$6000,F,494,0.73,0.00,3.83,1.64,0.18,0.36,0.00,0.18,1.82,2.55,18.95
Patrick Cutrone,WLV,$6300,F,142,0.63,0.00,3.80,1.27,0.63,1.90,0.63,0.63,1.90,3.17,12.68
Lucas Moura,TOT,$6200,M/F,223,0.40,0.40,3.63,0.81,0.40,0.40,1.21,0.00,0.81,0.40,33.50
Michail Antonio,WHU,$6200,M/F,125,0.00,0.00,3.60,2.16,1.44,1.44,1.44,0.00,0.72,1.44,26.64
Teemu Pukki,NOR,$5400,F,533,1.01,0.34,3.55,2.36,0.17,0.34,0.84,0.68,0.84,0.34,11.82
Danny Ings,SOU,$8500,F,282,0.32,0.32,3.51,0.64,0.00,1.60,1.91,0.64,0.64,0.64,22.02
Tom Cleverley,WAT,$5100,M,367,0.25,0.00,3.43,0.74,0.74,2.45,2.21,0.74,1.23,0.74,40.46
Harry Kane,TOT,$8700,F,535,0.67,0.17,3.36,1.35,0.34,1.01,0.67,0.17,1.51,1.35,16.65
Sofiane Boufal,SOU,$6600,M,273,0.00,0.66,3.30,1.32,0.33,2.97,1.98,0.99,1.98,1.65,31.32
Harry Wilson,BOU,$4900,M,313,0.86,0.00,3.16,1.44,0.29,2.01,0.86,0.00,0.58,1.73,26.17
Moussa Djenepo,SOU,$5800,M,124,1.45,0.00,2.90,2.18,0.73,0.73,0.73,3.63,2.18,3.63,26.85
Leandro Trossard,BHA,$7500,F,249,0.36,0.00,2.89,1.08,0.00,3.25,2.53,0.36,1.08,0.36,26.02
Mason Mount,CHE,$8300,M,539,0.50,0.00,2.84,1.34,0.67,5.51,2.00,1.17,1.17,0.50,30.56
John McGinn,AVL,$6000,M,540,0.33,0.17,2.83,1.67,0.83,1.50,1.33,2.17,1.67,3.17,25.17
Andriy Yarmolenko,WHU,$5200,F,290,0.62,0.00,2.79,1.55,0.93,0.62,1.86,0.62,1.86,0.93,36.62
