,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Sergio Aguero,MCI,SOU,$9200,F,-250,71.43
Gabriel Jesus,MCI,SOU,$8300,F,-225,69.23
Raheem Sterling,MCI,SOU,$8500,M/F,-163,61.98
Pierre-Emerick Aubameyang,ARS,WLV,$7900,F,-150,60.00
Mohamed Salah,LIV,AVL,$9800,M/F,-138,57.98
Alexandre Lacazette,ARS,WLV,$7700,F,-125,55.56
Sadio Mane,LIV,AVL,$10000,M/F,-125,55.56
Bernardo Silva,MCI,SOU,$8100,M/F,-105,51.22
Roberto Firmino,LIV,AVL,$8500,M/F,110,47.62
Gabriel Martinelli,ARS,WLV,$6900,M/F,110,47.62
Glenn Murray,BHA,NOR,$4800,F,110,47.62
Divock Origi,LIV,AVL,$8000,F,110,47.62
Riyad Mahrez,MCI,SOU,$9000,M/F,120,45.45
Neal Maupay,BHA,NOR,$7200,F,125,44.44
Kevin De Bruyne,MCI,SOU,$10100,M,130,43.48
Sebastien Haller,WHU,NEW,$5500,F,137,42.19
Nicolas Pepe,ARS,WLV,$7300,F,140,41.67
Aaron Connolly,BHA,NOR,,,160,38.46
Leandro Trossard,BHA,NOR,$7500,F,160,38.46
Phil Foden,MCI,SOU,$7200,M,175,36.36
Oliver McBurnie,SHU,BUR,$7200,F,175,36.36
Teemu Pukki,NOR,BHA,$5400,F,175,36.36
David Silva,MCI,SOU,$6300,M,175,36.36
Albian Ajeti,WHU,NEW,$4800,F,187,34.84
Joelinton,NEW,WHU,$5700,F,187,34.84
Alireza Jahanbakhsh,BHA,NOR,$4100,M/F,187,34.84
Leon Clarke,SHU,BUR,$5800,F,200,33.33
Callum Robinson,SHU,BUR,$6100,M/F,200,33.33
Billy Sharp,SHU,BUR,$5100,F,200,33.33
Raul Jimenez,WLV,ARS,$7800,F,210,32.26
Ashley Barnes,BUR,SHU,$6000,F,220,31.25
David McGoldrick,SHU,BUR,$6400,F,220,31.25
Lys Mousset,SHU,BUR,$7500,F,220,31.25
Oliver Norwood,SHU,BUR,$5600,M,220,31.25
Andriy Yarmolenko,WHU,NEW,$5200,F,225,30.77
Felipe Anderson,WHU,NEW,$5000,M,240,29.41
Dwight Gayle,NEW,WHU,$4500,F,240,29.41
Alex Oxlade-Chamberlain,LIV,AVL,$6500,M/F,240,29.41
Pedro Neto,WLV,ARS,$5600,F,250,28.57
Patrick Cutrone,WLV,ARS,$6300,F,260,27.78
Josip Drmic,NOR,BHA,$4200,F,260,27.78
Bukayo Saka,ARS,WLV,$6100,M/F,260,27.78
Morgan Gibbs-White,WLV,ARS,$3000,M,275,26.67
Ilkay Gundogan,MCI,SOU,$5500,M,275,26.67
Diogo Jota,WLV,ARS,$7000,M/F,275,26.67
Adam Lallana,LIV,AVL,$4900,M,275,26.67
Manuel Lanzini,WHU,NEW,$6100,M,275,26.67
James Milner,LIV,AVL,$5900,M,275,26.67
Yoshinori Muto,NEW,WHU,$4100,F,275,26.67
Mesut Ozil,ARS,WLV,$6800,M,275,26.67
Emile Smith-Rowe,ARS,WLV,$5600,M,275,26.67
Robert Snodgrass,WHU,NEW,$6300,M,275,26.67
Joe Willock,ARS,WLV,$3200,M,275,26.67
Miguel Almiron,NEW,WHU,$5900,M/F,300,25.00
Steven Alzate,BHA,NOR,,,300,25.00
Todd Cantwell,NOR,BHA,$4500,M,300,25.00
Pablo Fornals,WHU,NEW,$4500,M,300,25.00
Pascal Gross,BHA,NOR,$8000,M/F,300,25.00
Wesley Moraes,AVL,LIV,$4900,F,300,25.00
Mark Noble,WHU,NEW,$4300,M,300,25.00
Jay Rodriguez,BUR,SHU,$5200,M/F,300,25.00
Dennis Srbeny,NOR,BHA,$3900,F,300,25.00
Matej Vydra,BUR,SHU,$4600,F,300,25.00
