,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Gerard Deulofeu,WAT,$6600,F,418,0.00,0.22,4.09,1.72,0.86,5.17,2.80,0.65,1.08,0.00,37.03
Michail Antonio,WHU,$6200,M/F,125,0.00,0.00,3.60,2.16,1.44,1.44,1.44,0.00,0.72,1.44,26.64
James Maddison,LEI,$10300,M,536,0.17,0.34,3.36,0.50,0.00,8.23,1.85,0.50,2.18,3.36,39.79
Roberto Firmino,LIV,$8500,M/F,577,0.47,0.47,3.28,1.25,0.16,0.00,1.40,0.62,1.09,0.94,34.16
Ashley Barnes,BUR,$6000,F,577,0.62,0.00,3.28,1.40,0.16,0.47,0.16,0.31,2.03,2.50,18.41
Teemu Pukki,NOR,$5400,F,623,0.87,0.29,3.18,2.17,0.14,0.29,1.16,0.58,0.87,0.43,12.86
Mohamed Salah,LIV,$9800,M/F,618,0.58,0.44,3.06,1.31,0.00,2.48,1.89,0.29,0.87,0.44,32.48
Moise Kean,EVE,$4400,F,268,0.00,0.34,3.02,0.34,0.67,1.68,1.01,0.67,3.36,1.34,13.77
John McGinn,AVL,$6000,M,630,0.43,0.14,3.00,1.57,0.71,1.57,1.43,2.00,1.43,3.29,26.57
Tom Cleverley,WAT,$5100,M,457,0.20,0.00,2.95,0.79,0.59,2.36,2.17,1.18,0.98,0.59,42.54
Richarlison,EVE,$6300,M/F,582,0.31,0.15,2.94,0.77,0.62,2.78,0.93,2.47,0.77,2.78,26.91
Andre Gray,WAT,$4800,F,340,0.26,0.00,2.91,1.06,0.00,0.26,1.59,0.53,0.79,0.26,16.15
Danny Welbeck,WAT,$5200,F,129,0.00,0.00,2.79,0.70,0.00,0.00,1.40,2.09,0.00,1.40,20.93
David McGoldrick,SHU,$6400,F,323,0.00,0.00,2.79,1.39,0.00,0.56,0.00,2.23,1.95,1.95,24.24
Sadio Mane,LIV,$10000,M/F,518,0.69,0.17,2.78,1.22,1.22,0.87,2.08,1.22,1.04,1.74,35.44
Anwar El Ghazi,AVL,$6800,M,424,0.42,0.21,2.76,1.27,0.64,4.88,1.06,0.42,0.64,0.85,23.56
James Milner,LIV,$5900,M,136,0.00,0.66,2.65,0.66,0.66,0.66,1.32,0.66,1.99,0.00,76.10
Andriy Yarmolenko,WHU,$5200,F,380,0.71,0.00,2.61,1.42,0.71,0.95,1.89,0.95,1.89,1.18,38.13
Youri Tielemans,LEI,$7200,M,623,0.14,0.14,2.60,0.43,0.87,3.03,1.59,0.58,0.58,1.44,54.03
Trezeguet,AVL,$5300,M,374,0.00,0.24,2.41,0.96,0.72,3.61,1.20,0.72,2.41,2.41,19.01
Felipe Anderson,WHU,$5000,M,461,0.00,0.59,2.34,0.98,1.17,2.34,2.15,2.73,0.59,1.56,59.93
Ismaila Sarr,WAT,$5700,M/F,154,0.00,0.00,2.34,0.00,0.00,2.34,1.17,0.00,1.75,1.17,27.47
Sebastien Haller,WHU,$5500,F,540,0.50,0.17,2.33,1.17,0.83,0.17,1.17,1.17,1.17,1.33,34.33
Conor Hourihane,AVL,$5700,M,196,0.00,0.00,2.30,0.00,0.92,5.05,1.84,0.92,0.00,0.92,40.41
Roberto Pereyra,WAT,$4500,M,354,0.25,0.00,2.29,0.51,0.51,1.78,2.03,0.51,0.76,2.54,44.75
Alex Oxlade-Chamberlain,LIV,$6500,M/F,197,0.00,0.00,2.28,0.46,0.91,2.28,0.91,0.46,0.46,0.46,54.37
Marc Albrighton,LEI,$5100,M,120,0.00,0.75,2.25,0.00,1.50,6.75,4.50,1.50,2.25,1.50,55.50
Pablo Fornals,WHU,$4500,M,321,0.00,0.00,2.24,0.28,0.28,4.49,1.40,1.68,0.28,1.12,37.01
Wilfried Zaha,CRY,$7500,M/F,565,0.00,0.16,2.23,0.64,0.48,1.27,1.12,0.80,1.75,3.82,31.22
Cheikhou Kouyate,CRY,$3400,M,409,0.00,0.00,2.20,0.22,1.54,0.22,0.44,1.10,1.54,1.54,28.83
Harvey Barnes,LEI,$5900,M,288,0.31,0.31,2.19,1.25,0.00,1.88,1.56,0.63,0.94,0.63,36.25
Jordan Ayew,CRY,$5500,F,455,0.40,0.00,2.18,1.38,0.20,0.00,0.99,0.99,1.98,2.18,23.74
Callum Robinson,SHU,$6100,M/F,418,0.22,0.00,2.15,0.43,1.29,1.72,0.00,0.22,1.51,0.43,16.79
Jeff Hendrick,BUR,$3300,M,214,0.42,0.00,2.10,0.84,1.68,0.84,0.00,0.00,0.42,0.42,29.02
Gylfi Sigurdsson,EVE,$5800,M/F,571,0.00,0.16,2.05,0.63,0.16,4.89,3.15,0.79,0.47,0.79,29.47
Dominic Calvert-Lewin,EVE,$4500,F,406,0.44,0.00,2.00,0.89,0.22,0.44,0.22,0.22,1.77,1.33,15.96
Christian Benteke,CRY,$4900,F,232,0.00,0.00,1.94,1.16,0.39,0.00,1.94,1.94,1.16,1.16,23.66
Jay Rodriguez,BUR,$5200,M/F,144,0.63,0.00,1.88,1.25,0.00,0.00,0.63,0.63,1.25,0.63,13.13
Chris Wood,BUR,$6600,F,577,0.47,0.00,1.87,0.94,0.00,0.47,0.62,0.00,0.47,0.94,16.07
Jamie Vardy,LEI,$10800,F,630,0.71,0.14,1.86,1.00,0.14,1.14,0.57,0.14,0.71,0.14,12.29
Alex Iwobi,EVE,$4900,M/F,297,0.30,0.00,1.82,0.91,0.30,1.21,1.52,0.91,0.00,0.00,33.33
Oliver McBurnie,SHU,$7200,F,398,0.23,0.00,1.81,0.45,0.68,0.23,0.45,0.68,1.36,0.23,22.16
Divock Origi,LIV,$8000,F,153,0.59,0.00,1.76,0.59,0.59,5.29,1.76,2.94,0.59,1.76,26.47
Max Meyer,CRY,$3900,M,156,0.00,0.00,1.73,0.58,0.58,1.73,0.00,1.73,1.15,0.58,23.65
Manuel Lanzini,WHU,$6100,M,471,0.00,0.19,1.72,0.38,0.96,3.82,3.25,0.38,0.00,1.15,54.08
Aaron Cresswell,WHU,$4700,D,270,0.67,0.00,1.67,0.67,1.00,3.33,0.00,0.67,0.33,1.00,37.00
Demarai Gray,LEI,$3900,M,108,0.00,0.00,1.67,0.00,2.50,3.33,2.50,1.67,0.83,1.67,40.83
Wesley Moraes,AVL,$4900,F,607,0.30,0.00,1.63,1.04,0.15,0.30,0.59,0.59,2.08,0.89,15.27
Abdoulaye Doucoure,WAT,$3600,M,611,0.00,0.00,1.62,0.44,1.33,0.15,1.47,0.74,1.03,0.44,64.96
John Fleck,SHU,$6500,M,389,0.00,0.00,1.62,0.23,0.46,4.86,2.08,1.39,0.93,0.00,34.24
Lucas Digne,EVE,$5700,D,613,0.00,0.29,1.62,0.29,1.17,8.08,2.20,1.32,1.76,0.59,47.72
Jack Grealish,AVL,$8700,M,630,0.00,0.29,1.57,0.14,0.43,2.14,2.57,1.29,0.86,4.00,41.43
Jeffrey Schlupp,CRY,$4400,M,459,0.00,0.20,1.57,0.59,0.98,0.98,0.78,1.18,1.76,1.57,22.75
Marco Stiepermann,NOR,$3900,M,530,0.00,0.00,1.53,0.51,0.68,0.34,0.68,0.51,1.53,1.53,32.77
Troy Deeney,WAT,$5300,F,180,0.00,0.00,1.50,1.00,0.00,0.00,1.00,1.00,1.50,1.00,24.00
Georginio Wijnaldum,LIV,$4300,M,603,0.15,0.00,1.49,0.45,0.60,0.00,0.15,0.45,0.60,1.34,50.60
Dwight McNeil,BUR,$7300,M/F,609,0.00,0.30,1.48,0.15,0.59,6.50,1.18,1.18,0.74,1.18,19.66
Todd Cantwell,NOR,$4500,M,608,0.30,0.30,1.33,0.59,0.74,0.15,1.48,0.74,1.04,2.07,36.71
Emiliano Buendia,NOR,$6200,M,623,0.00,0.58,1.30,0.58,0.43,5.35,2.46,0.58,0.87,1.16,49.26
Trent Alexander-Arnold,LIV,$7300,D,630,0.14,0.29,1.29,0.57,1.00,9.71,3.29,1.00,0.71,0.14,64.43
Will Hughes,WAT,$4300,M,424,0.21,0.21,1.27,0.21,1.70,1.06,1.06,1.70,1.70,2.33,30.35
Robert Snodgrass,WHU,$6300,M,144,0.00,0.00,1.25,1.25,0.63,8.75,1.25,1.25,1.88,2.50,35.00
Johann Berg Gudmundsson,BUR,$6700,M/F,228,0.39,0.00,1.18,0.39,1.58,5.92,2.76,0.00,0.39,0.39,15.39
Yerry Mina,EVE,$2500,D,630,0.00,0.00,1.14,0.71,1.43,0.29,0.00,0.86,0.57,0.43,55.14
Andrew Robertson,LIV,$5500,D,630,0.00,0.29,1.14,0.29,1.86,6.14,1.29,0.14,0.57,0.57,76.71
