,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Sergio Aguero,MCI,$9600,F,908,0.99,0.20,4.36,1.29,0.20,0.50,1.19,0.40,0.40,0.40,19.03
Gabriel Jesus,MCI,$9300,F,910,0.59,0.20,4.35,2.08,0.49,0.40,0.89,0.40,1.48,1.48,21.46
Kelechi Iheanacho,LEI,$6600,F,221,1.22,0.81,4.07,2.04,0.00,0.00,2.44,0.41,1.63,1.22,22.81
Riyad Mahrez,MCI,$9200,M/F,905,0.50,0.50,3.68,1.89,1.09,3.78,2.88,0.80,0.50,1.29,51.02
Phil Foden,MCI,$7700,M,150,0.00,0.60,3.60,2.40,0.60,1.80,3.60,2.40,1.80,1.80,51.00
Moise Kean,EVE,$4700,F,433,0.00,0.21,3.53,1.04,0.42,1.45,1.04,0.62,3.53,0.83,14.55
Raul Jimenez,WLV,$8700,F,1669,0.43,0.32,3.45,1.35,0.49,0.65,1.89,0.38,1.08,0.92,27.66
Cenk Tosun,EVE,$5000,F,290,0.31,0.00,3.41,0.93,0.00,0.62,1.24,0.00,1.24,1.24,18.00
Patrick Cutrone,WLV,$5900,F,295,0.61,0.00,3.36,1.22,0.61,1.83,0.61,0.61,1.53,2.75,18.00
Kevin De Bruyne,MCI,$10900,M,1562,0.40,0.69,3.34,1.04,0.40,10.14,4.09,0.86,0.92,0.75,56.64
Michail Antonio,WHU,$6200,M/F,551,0.16,0.16,3.27,1.47,0.82,1.96,1.14,0.82,1.96,1.47,26.95
Raheem Sterling,MCI,$9400,M/F,1671,0.59,0.05,3.18,1.13,0.48,2.10,1.78,0.59,1.29,1.29,40.18
Theo Walcott,EVE,$5100,M/F,597,0.00,0.15,3.17,0.75,0.60,3.17,1.06,0.60,0.90,1.66,22.61
Danny Ings,SOU,$7500,F,1371,0.79,0.07,3.02,1.31,0.26,0.85,1.05,0.66,1.05,0.72,18.77
Son Heung-Min,TOT,$9100,M/F,1299,0.35,0.48,2.91,1.18,0.35,1.59,1.73,0.69,0.42,0.97,29.10
Harry Wilson,BOU,$6200,M,967,0.56,0.00,2.89,1.12,0.37,1.86,0.84,0.65,0.37,2.05,30.43
Diogo Jota,WLV,$6800,M/F,1370,0.20,0.00,2.82,0.99,0.46,1.51,1.05,0.53,1.84,2.56,32.19
Harry Kane,TOT,$8900,F,1705,0.58,0.11,2.80,1.11,0.26,0.90,0.95,0.32,1.32,1.58,19.69
Dominic Calvert-Lewin,EVE,$6200,F,1133,0.64,0.00,2.78,1.19,0.32,0.71,0.71,0.24,1.91,1.83,19.14
Christian Benteke,CRY,$4900,F,487,0.00,0.00,2.77,1.66,0.55,0.37,1.48,0.92,2.22,1.66,26.06
Mario Vrancic,NOR,$5400,M,200,0.45,0.00,2.70,0.90,0.90,0.45,2.25,1.80,1.80,1.80,71.55
Ismaila Sarr,WAT,$7000,M/F,772,0.35,0.00,2.68,0.70,0.70,3.85,0.82,0.35,1.17,2.22,22.15
Teemu Pukki,NOR,$6000,F,1786,0.45,0.15,2.67,1.36,0.25,0.25,1.06,0.20,0.86,0.35,16.08
Harvey Barnes,LEI,$5700,M,1083,0.08,0.42,2.66,1.00,0.42,1.50,1.50,0.33,1.08,0.91,29.42
