,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Aaron Connolly,BHA,,,155,1.16,0.00,5.23,2.90,0.00,1.16,1.16,0.58,1.16,3.48,14.52
Ross Barkley,CHE,$6400,M,296,0.00,0.00,4.56,1.52,0.91,0.91,3.04,0.30,0.61,0.91,52.91
Lucas Moura,TOT,$6200,M/F,240,0.38,0.38,4.13,1.50,0.38,0.38,1.50,0.00,0.75,0.75,34.50
Tammy Abraham,CHE,$9700,F,576,1.25,0.00,4.06,2.34,0.16,0.31,1.41,0.16,1.25,0.78,16.25
Gerard Deulofeu,WAT,$6600,F,449,0.00,0.20,3.81,1.60,0.80,5.61,2.81,0.60,1.00,0.20,36.08
Pedro,CHE,$7800,M/F,243,0.00,0.00,3.70,1.48,1.85,1.85,2.96,0.37,0.74,1.48,39.63
Neal Maupay,BHA,$7200,F,524,0.52,0.00,3.44,1.20,0.52,0.17,0.69,0.69,0.52,1.37,21.64
Anwar El Ghazi,AVL,$6800,M,488,0.37,0.55,3.32,1.48,0.55,4.61,1.48,0.55,0.74,0.74,24.71
Patrick Cutrone,WLV,$6300,F,220,0.41,0.00,3.27,0.82,0.41,1.23,0.41,0.82,2.05,2.86,14.32
Danny Ings,SOU,$8500,F,446,0.61,0.20,3.23,1.01,0.20,1.01,1.61,1.21,0.61,0.40,17.96
Ashley Barnes,BUR,$6000,F,650,0.55,0.00,3.18,1.25,0.14,0.42,0.14,0.28,1.80,2.49,17.45
Son Heung-Min,TOT,$8600,M/F,486,0.37,0.37,3.15,1.48,0.37,1.30,2.04,0.74,0.74,0.74,34.07
Teemu Pukki,NOR,$5400,F,707,0.76,0.25,3.06,1.91,0.13,0.25,1.40,0.51,1.02,0.38,12.98
James Maddison,LEI,$10300,M,622,0.29,0.29,3.04,0.58,0.14,7.96,1.59,0.58,2.17,3.18,38.92
Harry Kane,TOT,$8700,F,715,0.63,0.13,3.02,1.13,0.25,1.01,0.76,0.13,1.13,1.51,17.24
John McGinn,AVL,$6000,M,720,0.38,0.13,3.00,1.38,0.75,1.63,1.38,2.13,1.50,3.00,29.00
Moussa Djenepo,SOU,$5800,M,124,1.45,0.00,2.90,2.18,0.73,0.73,0.73,3.63,2.18,3.63,26.85
Leandro Trossard,BHA,$7500,F,249,0.36,0.00,2.89,1.08,0.00,3.25,2.53,0.36,1.08,0.36,26.02
Nathan Redmond,SOU,$5500,M/F,529,0.17,0.00,2.72,0.68,0.34,1.02,1.36,0.85,0.85,1.02,32.50
Andre Gray,WAT,$4800,F,399,0.23,0.00,2.71,0.90,0.23,0.23,1.58,0.45,0.68,0.23,16.47
Sofiane Boufal,SOU,$6600,M,370,0.00,0.49,2.68,1.22,0.24,3.16,1.95,0.97,2.68,1.95,31.14
Willian,CHE,$9500,M/F,415,0.22,0.22,2.60,0.43,0.65,3.04,0.87,2.17,0.43,2.60,46.84
Dominic Solanke,BOU,$3800,F,382,0.00,0.00,2.59,0.94,0.71,0.24,0.94,0.00,0.24,1.88,26.62
Allan Saint-Maximin,NEW,$5400,M,140,0.00,0.00,2.57,1.29,0.00,3.86,1.93,0.00,0.64,1.93,19.93
Che Adams,SOU,$5600,F,458,0.00,0.00,2.55,0.39,0.20,1.18,1.18,0.00,1.18,0.39,16.70
Mason Mount,CHE,$8300,M,709,0.51,0.00,2.54,1.14,0.63,5.08,2.16,0.89,1.02,0.51,32.50
Trezeguet,AVL,$5300,M,400,0.00,0.23,2.48,0.90,0.68,3.38,1.13,0.68,2.48,2.25,18.45
Tom Cleverley,WAT,$5100,M,547,0.16,0.00,2.47,0.66,0.49,2.80,2.14,0.99,0.99,0.49,41.79
Christian Eriksen,TOT,$6500,M,514,0.18,0.18,2.45,1.05,1.05,5.78,2.28,0.53,0.88,0.53,53.23
Raul Jimenez,WLV,$7800,F,675,0.27,0.27,2.40,0.80,0.67,0.67,1.47,0.27,0.80,0.67,26.27
Youri Tielemans,LEI,$7200,M,713,0.13,0.13,2.27,0.38,0.76,2.65,1.39,0.50,0.63,1.64,53.77
Jay Rodriguez,BUR,$5200,M/F,161,0.56,0.00,2.24,1.68,0.00,0.00,0.56,1.68,1.12,1.12,13.98
Wesley Moraes,AVL,$4900,F,697,0.52,0.13,2.20,1.55,0.39,0.26,0.65,0.52,2.20,1.16,15.37
Danny Welbeck,WAT,$5200,F,206,0.00,0.00,2.18,0.87,0.00,0.00,0.87,1.31,0.87,0.87,18.79
Diogo Jota,WLV,$7000,M/F,454,0.20,0.00,2.18,0.40,0.40,0.99,0.79,0.40,1.19,2.38,32.11
Ismaila Sarr,WAT,$5700,M/F,167,0.00,0.00,2.16,0.00,0.00,2.16,1.08,0.00,1.62,1.62,26.41
Harry Wilson,BOU,$4900,M,469,0.58,0.00,2.11,0.96,0.58,1.54,0.96,0.19,0.38,1.73,26.67
Roberto Pereyra,WAT,$4500,M,444,0.20,0.00,2.03,0.41,0.41,2.43,1.82,0.41,0.61,2.43,41.35
Glenn Murray,BHA,$4800,F,269,0.00,0.00,2.01,0.33,0.00,1.00,0.67,0.00,2.68,2.01,19.41
Matthew Longstaff,NEW,$3300,M,90,1.00,0.00,2.00,1.00,2.00,1.00,1.00,0.00,1.00,0.00,42.00
Conor Hourihane,AVL,$5700,M,274,0.33,0.33,1.97,0.33,0.66,4.60,2.30,0.99,1.31,0.99,35.80
Marco Stiepermann,NOR,$3900,M,606,0.00,0.00,1.93,0.59,0.59,0.45,0.74,0.74,1.49,1.34,30.89
Harvey Barnes,LEI,$5900,M,333,0.27,0.27,1.89,1.08,0.00,1.62,1.35,0.54,1.35,0.54,34.59
