,,,,,,,,,,,,,,,
Name,Team,Salary,Position,MIN,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P
Michy Batshuayi,CHE,$9000,F,97,0.93,0.93,10.21,1.86,0.00,0.00,2.78,0.00,1.86,1.86,34.33
Kelechi Iheanacho,LEI,$8100,F,92,1.96,1.96,6.85,2.93,0.00,0.00,4.89,0.98,0.98,0.00,31.30
Mario Vrancic,NOR,$4000,M,105,0.00,0.00,4.29,0.86,0.00,0.00,3.43,1.71,1.71,1.71,78.86
Ross Barkley,CHE,$6400,M,339,0.00,0.00,3.98,1.33,0.80,0.80,2.65,0.53,0.53,0.80,51.50
Tammy Abraham,CHE,$9700,F,1142,0.87,0.24,3.70,1.81,0.32,0.24,1.18,0.16,0.79,1.02,16.55
Pedro,CHE,$7800,M/F,306,0.00,0.00,3.53,1.47,2.35,2.06,2.65,0.59,0.59,1.47,38.24
Michail Antonio,WHU,$6200,M/F,336,0.27,0.00,3.48,2.14,0.80,1.07,0.80,0.54,1.61,1.88,26.25
Callum Hudson-Odoi,CHE,$8200,F,273,0.00,0.99,3.30,0.66,0.66,4.29,3.30,0.66,0.99,0.99,48.79
Mason Mount,CHE,$8300,M,1326,0.34,0.07,3.05,1.09,0.41,4.68,1.76,0.61,1.15,0.81,35.77
Ashley Barnes,BUR,$6000,F,1067,0.51,0.00,3.04,1.01,0.34,0.34,0.17,0.25,2.11,2.36,16.28
Christian Pulisic,CHE,$9200,M/F,922,0.49,0.20,3.03,1.37,0.29,2.05,1.76,0.29,0.49,1.17,37.09
Danny Ings,SOU,$8500,F,1083,0.75,0.08,2.99,1.25,0.25,0.91,1.16,0.75,1.16,0.66,17.95
Willian,CHE,$9500,M/F,1033,0.17,0.26,2.88,0.87,0.87,5.23,1.92,1.31,0.52,2.27,46.35
Lys Mousset,SHU,$7500,F,596,0.76,0.45,2.87,0.76,0.30,0.15,1.21,0.45,1.96,0.76,17.52
James Maddison,LEI,$10300,M,1324,0.34,0.20,2.85,0.68,0.41,8.09,2.52,1.09,1.29,3.13,51.05
David McGoldrick,SHU,$6400,F,898,0.00,0.10,2.81,1.50,0.30,0.50,0.80,1.50,1.60,1.20,27.96
Sofiane Boufal,SOU,$6600,M,483,0.00,0.37,2.80,1.12,0.19,2.61,2.05,1.12,3.54,2.42,33.17
Trezeguet,AVL,$5300,M,876,0.31,0.10,2.77,0.82,1.23,3.29,0.82,0.62,1.64,1.85,18.08
Harry Wilson,BOU,$4900,M,881,0.61,0.00,2.76,1.02,0.41,1.84,0.82,0.72,0.31,2.04,31.06
Anwar El Ghazi,AVL,$6800,M,948,0.28,0.38,2.75,1.14,0.57,4.37,1.61,0.66,0.66,0.95,22.97
Teemu Pukki,NOR,$5400,F,1426,0.50,0.19,2.71,1.39,0.19,0.32,1.26,0.25,0.95,0.44,16.35
Harvey Barnes,LEI,$5900,M,909,0.10,0.40,2.67,1.19,0.50,1.68,1.49,0.40,1.29,0.89,30.30
Jamie Vardy,LEI,$10800,F,1440,1.00,0.19,2.56,1.63,0.06,0.81,0.69,0.38,0.81,0.38,12.25
Che Adams,SOU,$5600,F,484,0.00,0.00,2.42,0.37,0.19,1.30,1.12,0.00,1.49,0.37,17.48
John McGinn,AVL,$6000,M,1440,0.19,0.13,2.38,0.94,0.94,2.88,1.50,1.75,1.44,2.31,30.06
Josip Drmic,NOR,$4200,F,115,0.78,0.00,2.35,0.78,0.00,0.78,0.00,0.00,0.00,1.57,19.57
Jay Rodriguez,BUR,$5200,M/F,585,0.31,0.00,2.31,0.92,0.31,0.15,0.31,0.77,1.23,0.46,16.77
Nathan Redmond,SOU,$5500,M/F,1207,0.07,0.00,2.24,0.67,0.30,1.12,0.97,1.04,0.60,0.97,31.76
Ayoze Perez,LEI,$7700,M/F,887,0.41,0.10,2.23,1.12,0.81,1.83,0.91,1.01,1.12,1.22,33.79
Chris Wood,BUR,$6600,F,1135,0.48,0.00,2.22,1.27,0.08,0.32,0.63,0.32,0.79,1.03,16.41
Arnaut Danjuma Groeneveld,BOU,$3700,F,407,0.00,0.00,2.21,0.88,1.55,1.33,0.44,0.00,0.00,0.88,34.72
Oliver McBurnie,SHU,$7200,F,616,0.29,0.00,2.19,0.73,0.88,0.15,0.44,0.73,1.61,0.58,23.81
Shane Long,SOU,$6300,F,329,0.00,0.27,2.19,0.82,0.00,0.82,1.64,0.27,1.64,1.64,28.18
Sebastien Haller,WHU,$5500,F,1194,0.30,0.08,2.19,1.06,0.45,0.23,0.83,0.60,1.51,1.66,29.40
Jonjo Shelvey,NEW,$7000,M,852,0.53,0.00,2.11,0.85,1.58,3.27,1.90,0.63,0.63,0.42,38.56
Andriy Yarmolenko,WHU,$5200,F,811,0.33,0.11,2.11,1.00,0.44,1.55,1.66,0.78,1.44,0.89,33.74
