,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Raul Jimenez,WLV,NOR,$9000,F,105,48.78
Neal Maupay,BHA,SHU,$8700,F,105,48.78
Teemu Pukki,NOR,WLV,$6800,F,105,48.78
Danny Ings,SOU,AVL,$7300,F,110,47.62
Patrick Cutrone,WLV,NOR,$6900,F,140,41.67
Callum Wilson,BOU,BUR,$6600,F,140,41.67
Ashley Barnes,BUR,BOU,$6100,F,150,40.00
Chris Wood,BUR,BOU,$6700,F,150,40.00
Joshua King,BOU,BUR,$6400,F,155,39.22
Dennis Srbeny,NOR,WLV,$3700,F,155,39.22
Diogo Jota,WLV,NOR,$7600,M/F,170,37.04
Lys Mousset,SHU,BHA,$5800,F,175,36.36
Jonathan Kodjia,AVL,SOU,$5500,F,185,35.09
Glenn Murray,BHA,SHU,$5400,F,185,35.09
Dominic Solanke,BOU,BUR,$5000,F,195,33.90
Harry Wilson,BOU,BUR,$6100,M,195,33.90
Shane Long,SOU,AVL,$5700,F,200,33.33
Pedro Neto,WLV,NOR,$6300,F,200,33.33
Aaron Connolly,BHA,SHU,,,210,32.26
Leandro Trossard,BHA,SHU,$7100,F,210,32.26
James Ward-Prowse,SOU,AVL,$7500,M,210,32.26
Jack Grealish,AVL,SOU,$9100,M,220,31.25
John McGinn,AVL,SOU,$6900,M,220,31.25
Jordan Ayew,CRY,NEW,$5500,F,230,30.30
Dwight Gayle,NEW,CRY,$5100,F,230,30.30
David McGoldrick,SHU,BHA,$6200,F,230,30.30
Jay Rodriguez,BUR,BOU,$5100,M/F,240,29.41
Keinan Davis,AVL,SOU,$5000,M/F,250,28.57
Trezeguet,AVL,SOU,$6300,M,250,28.57
Oliver McBurnie,SHU,BHA,$6500,F,250,28.57
Christian Benteke,CRY,NEW,$5100,F,260,27.78
Andy Carroll,NEW,CRY,$5300,F,260,27.78
Anwar El Ghazi,AVL,SOU,$7200,M,260,27.78
Michael Obafemi,SOU,AVL,$5200,F,260,27.78
Wilfried Zaha,CRY,NEW,$8500,M/F,260,27.78
Che Adams,SOU,AVL,$5200,F,270,27.03
Matej Vydra,BUR,BOU,$4300,F,270,27.03
Joelinton,NEW,CRY,$5900,F,290,25.64
Conor Hourihane,AVL,SOU,$6600,M,290,25.64
Nathan Redmond,SOU,AVL,$5200,M/F,290,25.64
Adama Traore,WLV,NOR,$8800,M/F,290,25.64
Todd Cantwell,NOR,WLV,$4900,M,300,25.00
Yoshinori Muto,NEW,CRY,$3800,F,300,25.00
Callum Robinson,SHU,BHA,$5700,M/F,300,25.00
Billy Sharp,SHU,BHA,$4000,F,300,25.00
Morgan Gibbs-White,WLV,NOR,$3300,M,310,24.39
Moussa Djenepo,SOU,AVL,$6000,M,320,23.81
Luka Milivojevic,CRY,NEW,$7100,M,330,23.26
Jota,AVL,SOU,$4500,M/F,330,23.26
Junior Stanislas,BOU,BUR,$5600,M,340,22.73
Connor Wickham,CRY,NEW,$3600,F,340,22.73
Matt Doherty,WLV,NOR,$5000,D,350,22.22
Ryan Fraser,BOU,BUR,$6800,M,350,22.22
Miguel Almiron,NEW,CRY,$6200,M/F,370,21.28
Stuart Armstrong,SOU,AVL,$3400,M,370,21.28
Ruben Neves,WLV,NOR,$4200,M,370,21.28
Douglas Luiz,AVL,SOU,$4000,M,370,21.28
Onel Hernandez,NOR,WLV,$4700,M,380,20.83
Steven Alzate,BHA,SHU,,,390,20.41
Jeff Hendrick,BUR,BOU,$3200,M,390,20.41
Henri Lansbury,AVL,SOU,$4600,M,390,20.41
Jonjo Shelvey,NEW,CRY,$8200,M,390,20.41
John Lundstram,SHU,BHA,$5300,M,400,20.00
Taylor Perry,WLV,NOR,$3800,M,400,20.00
