,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Chelsea,Aston Villa,H,75.00,15.62,43.22,2.39,0.85,3.24
Liverpool,Everton,H,70.25,18.73,44.43,2.17,0.83,3.00
Leicester City,Watford,H,68.61,19.70,44.43,2.09,0.83,2.93
Wolverhampton,West Ham United,H,56.69,24.61,39.63,1.73,0.95,2.68
Southampton,Norwich City,H,54.30,23.41,31.94,1.94,1.17,3.11
Manchester United,Tottenham Hotspur,H,37.47,26.77,24.01,1.45,1.42,2.87
Tottenham Hotspur,Manchester United,A,35.76,26.77,23.68,1.42,1.45,2.87
Norwich City,Southampton,A,22.30,23.41,13.58,1.17,1.94,3.11
West Ham United,Wolverhampton,A,18.70,24.61,17.97,0.95,1.73,2.68
Watford,Leicester City,A,11.69,19.70,11.04,0.83,2.09,2.93
Everton,Liverpool,A,11.02,18.73,9.75,0.83,2.17,3.00
Aston Villa,Chelsea,A,9.38,15.62,6.81,0.85,2.39,3.24
