,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Sergio Aguero,MCI,SHU,$9300,F,-230,69.70
Gabriel Jesus,MCI,SHU,$8500,F,-155,60.78
Mohamed Salah,LIV,WLV,$9800,M/F,-150,60.00
Raheem Sterling,MCI,SHU,$9000,M/F,-130,56.52
Sadio Mane,LIV,WLV,$9600,M/F,-125,55.56
Tammy Abraham,CHE,ARS,$8300,F,-120,54.55
Pierre-Emerick Aubameyang,ARS,CHE,$7900,F,-115,53.49
Divock Origi,LIV,WLV,$7700,F,-110,52.38
Roberto Firmino,LIV,WLV,$8200,M/F,115,46.51
Alexandre Lacazette,ARS,CHE,$6400,F,120,45.45
Olivier Giroud,CHE,ARS,$5500,F,125,44.44
Michy Batshuayi,CHE,ARS,$6300,F,135,42.55
Riyad Mahrez,MCI,SHU,$8700,M/F,145,40.82
Xherdan Shaqiri,LIV,WLV,$6600,M/F,150,40.00
Bernardo Silva,MCI,SHU,$8000,M/F,170,37.04
Gabriel Martinelli,ARS,CHE,$7200,M/F,175,36.36
Curtis Jones,LIV,WLV,$3400,M,190,34.48
Nicolas Pepe,ARS,CHE,$7400,F,190,34.48
Kevin De Bruyne,MCI,SHU,$11000,M,200,33.33
Willian,CHE,ARS,$9200,M/F,220,31.25
Callum Hudson-Odoi,CHE,ARS,$7000,F,220,31.25
Alex Oxlade-Chamberlain,LIV,WLV,$6900,M/F,220,31.25
Pedro,CHE,ARS,$6100,M/F,230,30.30
David Silva,MCI,SHU,$6400,M,230,30.30
Christian Pulisic,CHE,ARS,$7300,M/F,240,29.41
Mason Mount,CHE,ARS,$7200,M,250,28.57
Lys Mousset,SHU,MCI,$5000,F,250,28.57
Phil Foden,MCI,SHU,$6900,M,260,27.78
Raul Jimenez,WLV,LIV,$6800,F,260,27.78
Naby Keita,LIV,WLV,$5000,M,280,26.32
Adam Lallana,LIV,WLV,$4800,M,280,26.32
James Milner,LIV,WLV,$6200,M,280,26.32
Ilkay Gundogan,MCI,SHU,$5400,M,300,25.00
Reiss Nelson,ARS,CHE,$5200,M/F,300,25.00
Ross Barkley,CHE,ARS,$5500,M,320,23.81
Patrick Cutrone,WLV,LIV,$4800,F,320,23.81
David McGoldrick,SHU,MCI,$4500,F,330,23.26
Bukayo Saka,ARS,CHE,$4800,M/F,340,22.73
N'Golo Kante,CHE,ARS,$4500,M,360,21.74
Oliver McBurnie,SHU,MCI,$4700,F,360,21.74
Diogo Jota,WLV,LIV,$5900,M/F,370,21.28
Billy Sharp,SHU,MCI,$3800,F,370,21.28
Mesut Ozil,ARS,CHE,$6000,M,380,20.83
Granit Xhaka,ARS,CHE,$3400,M,400,20.00
Oleksandr Zinchenko,MCI,SHU,$4300,D,400,20.00
Callum Robinson,SHU,MCI,$4500,M/F,420,19.23
Jorginho,CHE,ARS,$4100,M,430,18.87
Billy Gilmour,CHE,ARS,$3400,M,430,18.87
Pedro Neto,WLV,LIV,$4400,F,430,18.87
Georginio Wijnaldum,LIV,WLV,$3700,M,450,18.18
Trent Alexander-Arnold,LIV,WLV,$7500,D,480,17.24
Jordan Henderson,LIV,WLV,$5200,M,500,16.67
Virgil van Dijk,LIV,WLV,$4300,D,500,16.67
Dani Ceballos,ARS,CHE,$5100,M,550,15.38
John Fleck,SHU,MCI,$4900,M,550,15.38
Adama Traore,WLV,LIV,$7100,M/F,550,15.38
Nicolas Otamendi,MCI,SHU,$3800,D,600,14.29
Joao Cancelo,MCI,SHU,$4800,D,650,13.33
Matt Doherty,WLV,LIV,$4200,D,650,13.33
Luke Freeman,SHU,MCI,$3600,M,650,13.33
Eric Garcia,MCI,SHU,$3300,D,650,13.33
John Lundstram,SHU,MCI,$3900,M,650,13.33
Ravel Morrison,SHU,MCI,$3300,M,650,13.33
Angelino,MCI,SHU,$5100,D,650,13.33
Marcos Alonso,CHE,ARS,$5400,D,700,12.50
Ruben Neves,WLV,LIV,$3900,M,700,12.50
Taylor Perry,WLV,LIV,$3200,M,750,11.76
Mateo Kovacic,CHE,ARS,$4700,M,800,11.11
David Luiz,ARS,CHE,$3100,D,800,11.11
Fernandinho,MCI,SHU,$4000,M,800,11.11
Matteo Guendouzi,ARS,CHE,$3600,M,950,9.52
John Stones,MCI,SHU,$3400,D,950,9.52
Joao Moutinho,WLV,LIV,$5800,M,1000,9.09
Shkodran Mustafi,ARS,CHE,$3000,D,1000,9.09
Andrew Robertson,LIV,WLV,$6000,D,1000,9.09
Lucas Torreira,ARS,CHE,$4600,M,1000,9.09
Ainsley Maitland-Niles,ARS,CHE,$3800,D,1100,8.33
Benjamin Mendy,MCI,SHU,$4600,D,1100,8.33
Kyle Walker,MCI,SHU,$4200,D,1100,8.33
Leander Dendoncker,WLV,LIV,$3700,M,1200,7.69
Reece James,CHE,ARS,$4700,D,1200,7.69
Hector Bellerin,ARS,CHE,$3500,D,1300,7.14
Antonio Rudiger,CHE,ARS,$3300,D,1300,7.14
Romain Saiss,WLV,LIV,$3600,M,1300,7.14
Ruben Vinagre,WLV,LIV,$3200,D,1400,6.67
Oliver Norwood,SHU,MCI,$4300,M,1500,6.25
Kurt Zouma,CHE,ARS,$3700,D,1500,6.25
Calum Chambers,ARS,CHE,$3300,D,1600,5.88
Konstantinos Mavropanos,ARS,CHE,$2600,D,1600,5.88
Muhamed Besic,SHU,MCI,$3500,M,1700,5.56
Jack O'Connell,SHU,MCI,$3300,D,1700,5.56
Ben Osborn,SHU,MCI,$3100,M,1700,5.56
Chris Basham,SHU,MCI,$3400,D,1900,5.00
John Egan,SHU,MCI,$3100,D,1900,5.00
Enda Stevens,SHU,MCI,$3900,D,1900,5.00
Jonny,WLV,LIV,$3400,D,2000,4.76
Rob Holding,ARS,CHE,$2600,D,2100,4.55
George Baldock,SHU,MCI,$4100,D,2200,4.35
Andreas Christensen,CHE,ARS,$3100,D,2200,4.35
Fikayo Tomori,CHE,ARS,$3500,D,2200,4.35
Kieron Freeman,SHU,MCI,$3200,D,2300,4.17
Phil Jagielka,SHU,MCI,$3000,D,2300,4.17
Jesus Vallejo,WLV,LIV,$2700,D,2400,4.00
Cesar Azpilicueta,CHE,ARS,$4500,D,2600,3.70
Ryan Bennett,WLV,LIV,$3000,D,2800,3.45
Max Kilman,WLV,LIV,$2700,D,2800,3.45
Richard Stearman,SHU,MCI,$2800,D,3400,2.86
Conor Coady,WLV,LIV,$2900,D,5500,1.79
