,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Mohamed Salah,LIV,LEI,$9800,M/F,-138,57.98
Sadio Mane,LIV,LEI,$10000,M/F,105,48.78
Teemu Pukki,NOR,AVL,$5400,F,105,48.78
Roberto Firmino,LIV,LEI,$8500,M/F,120,45.45
Divock Origi,LIV,LEI,$8000,F,120,45.45
Sebastien Haller,WHU,CRY,$5500,F,137,42.19
Josip Drmic,NOR,AVL,$4200,F,160,38.46
Adam Idah,NOR,AVL,$3600,F,160,38.46
Wesley Moraes,AVL,NOR,$4900,F,160,38.46
Ashley Barnes,BUR,EVE,$6000,F,175,36.36
Andre Gray,WAT,SHU,$4800,F,175,36.36
Chris Wood,BUR,EVE,$6600,F,175,36.36
Albian Ajeti,WHU,CRY,$4800,F,187,34.84
Oliver McBurnie,SHU,WAT,$7200,F,187,34.84
Ismaila Sarr,WAT,SHU,$5700,M/F,187,34.84
Jamie Vardy,LEI,LIV,$10800,F,187,34.84
Todd Cantwell,NOR,AVL,$4500,M,210,32.26
Leon Clarke,SHU,WAT,$5800,F,210,32.26
Gerard Deulofeu,WAT,SHU,$6600,F,210,32.26
Moise Kean,EVE,BUR,$4400,F,210,32.26
Lewis Richardson,BUR,EVE,$3100,M,210,32.26
Callum Robinson,SHU,WAT,$6100,M/F,210,32.26
Billy Sharp,SHU,WAT,$5100,F,210,32.26
Dennis Srbeny,NOR,AVL,$3900,F,210,32.26
Isaac Success,WAT,SHU,$3900,F,210,32.26
Danny Welbeck,WAT,SHU,$5200,F,210,32.26
Keinan Davis,AVL,NOR,$4300,M/F,225,30.77
Richarlison,EVE,BUR,$6300,M/F,225,30.77
Trezeguet,AVL,NOR,$5300,M,225,30.77
Jay Rodriguez,BUR,EVE,$5200,M/F,225,30.77
Cenk Tosun,EVE,BUR,$4700,F,225,30.77
Matej Vydra,BUR,EVE,$4600,F,225,30.77
Felipe Anderson,WHU,CRY,$5000,M,240,29.41
Jordan Ayew,CRY,WHU,$5500,F,240,29.41
Christian Benteke,CRY,WHU,$4900,F,240,29.41
Emiliano Buendia,NOR,AVL,$6200,M,240,29.41
Andriy Yarmolenko,WHU,CRY,$5200,F,240,29.41
Dominic Calvert-Lewin,EVE,BUR,$4500,F,250,28.57
David McGoldrick,SHU,WAT,$6400,F,250,28.57
Alex Oxlade-Chamberlain,LIV,LEI,$6500,M/F,250,28.57
Anwar El Ghazi,AVL,NOR,$6800,M,260,27.78
Lys Mousset,SHU,WAT,$7500,F,260,27.78
Jota,AVL,NOR,$4600,M/F,260,27.78
Roberto Pereyra,WAT,SHU,$4500,M,260,27.78
Patrick Roberts,NOR,AVL,$3200,M,260,27.78
Manuel Lanzini,WHU,CRY,$6100,M,275,26.67
John McGinn,AVL,NOR,$6000,M,275,26.67
Gylfi Sigurdsson,EVE,BUR,$5800,M/F,275,26.67
Robert Snodgrass,WHU,CRY,$6300,M,275,26.67
Pablo Fornals,WHU,CRY,$4500,M,300,25.00
Kelechi Iheanacho,LEI,LIV,$8100,F,300,25.00
Adam Lallana,LIV,LEI,$4900,M,300,25.00
Luka Milivojevic,CRY,WHU,$6600,M,300,25.00
James Milner,LIV,LEI,$5900,M,300,25.00
Mark Noble,WHU,CRY,$4300,M,300,25.00
Domingos Quina,WAT,SHU,$3200,M,300,25.00
Andros Townsend,CRY,WHU,$5700,M/F,300,25.00
Theo Walcott,EVE,BUR,$4600,M/F,300,25.00
Connor Wickham,CRY,WHU,$3600,F,300,25.00
Wilfried Zaha,CRY,WHU,$7500,M/F,300,25.00
