Player,0,1
Sergio Aguero,0.63901204,0.36098796
Gabriel Jesus,0.6556019,0.34439808
Kelechi Iheanacho,0.94370353,0.056296468
Riyad Mahrez,0.76592904,0.23407099
Phil Foden,0.56501096,0.43498904
Moise Kean,0.9526004,0.047399554
Raul Jimenez,0.3770476,0.62295234
Cenk Tosun,0.9301175,0.06988246
Patrick Cutrone,0.9317009,0.06829913
Kevin De Bruyne,0.039871365,0.9601286
Michail Antonio,0.9044301,0.095569886
Raheem Sterling,0.8643384,0.13566165
Theo Walcott,0.8587334,0.14126661
Danny Ings,0.5266142,0.4733858
Son Heung-Min,0.4131611,0.58683896
Harry Wilson,0.8707682,0.12923187
Diogo Jota,0.9148014,0.08519865
Harry Kane,0.6570365,0.34296358
Dominic Calvert-Lewin,0.9278191,0.072180964
Christian Benteke,0.9653827,0.03461728
Mario Vrancic,0.9691009,0.030899148
Ismaila Sarr,0.9226929,0.077307075
Teemu Pukki,0.91377985,0.086220086
Harvey Barnes,0.93272525,0.06727476
Richarlison,0.55355394,0.4464461
Jamie Vardy,0.40563303,0.59436697
James Maddison,0.058903754,0.94109625
Gerard Deulofeu,0.57801515,0.42198488
Lucas Moura,0.5334877,0.46651238
Sebastien Haller,0.76236576,0.23763427
Sofiane Boufal,0.9622843,0.037715647
Shane Long,0.9476962,0.052303724
Josip Drmic,0.96764934,0.032350723
Andre Gray,0.99167997,0.008320031
David Silva,0.59458256,0.40541744
Bernardo Silva,0.8676972,0.1323028
Christian Eriksen,0.39795926,0.6020407
Arnaut Danjuma Groeneveld,0.98249257,0.017507391
Andriy Yarmolenko,0.8765115,0.1234885
Danny Welbeck,0.98500884,0.014991191
Jonjo Shelvey,0.9312774,0.068722546
Tom Cleverley,0.9792253,0.02077465
Dominic Solanke,0.99075705,0.009242985
Ayoze Perez,0.8066776,0.1933224
Demarai Gray,0.8667656,0.13323438
Andy Carroll,0.95096666,0.04903339
Che Adams,0.9688476,0.031152435
Troy Deeney,0.927532,0.07246793
Allan Saint-Maximin,0.9753357,0.02466431
Gylfi Sigurdsson,0.8086477,0.19135232
Nathan Redmond,0.87863123,0.12136879
Ilkay Gundogan,0.93321145,0.0667885
