,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Tammy Abraham,CHE,SOU,$9000,F,-210,67.74
Pierre-Emerick Aubameyang,ARS,BOU,$8700,F,-155,60.78
Olivier Giroud,CHE,SOU,$6900,F,-135,57.45
Teemu Pukki,NOR,AVL,$7100,F,-130,56.52
Michy Batshuayi,CHE,SOU,$7700,F,-120,54.55
Alexandre Lacazette,ARS,BOU,$8400,F,-115,53.49
Lys Mousset,SHU,WAT,$6500,F,110,47.62
Richarlison,EVE,BUR,$7500,M/F,115,46.51
Cenk Tosun,EVE,BUR,$6000,F,120,45.45
Dominic Calvert-Lewin,EVE,BUR,$6400,F,125,44.44
Dennis Srbeny,NOR,AVL,$4900,F,125,44.44
Moise Kean,EVE,BUR,$5400,F,135,42.55
Gabriel Martinelli,ARS,BOU,$7400,M/F,135,42.55
Callum Wilson,BOU,ARS,$5800,F,135,42.55
Willian,CHE,SOU,$10200,M/F,140,41.67
Callum Hudson-Odoi,CHE,SOU,$8200,F,140,41.67
Nicolas Pepe,ARS,BOU,$8000,F,145,40.82
Joshua King,BOU,ARS,$5500,F,155,39.22
Pedro,CHE,SOU,$7600,M/F,155,39.22
Jonathan Kodjia,AVL,NOR,$5600,F,160,38.46
David McGoldrick,SHU,WAT,$6100,F,160,38.46
Christian Pulisic,CHE,SOU,$8600,M/F,160,38.46
Mason Mount,CHE,SOU,$7700,M,165,37.74
Oumar Niasse,EVE,BUR,$4500,F,165,37.74
Oliver McBurnie,SHU,WAT,$6600,F,175,36.36
Christian Benteke,CRY,WHU,$5200,F,185,35.09
Wilfried Zaha,CRY,WHU,$7900,M/F,185,35.09
Trezeguet,AVL,NOR,$6300,M,190,34.48
John McGinn,AVL,NOR,$7100,M,190,34.48
Gylfi Sigurdsson,EVE,BUR,$6800,M/F,190,34.48
Jack Grealish,AVL,NOR,$9500,M,195,33.90
Sebastien Haller,WHU,CRY,$6300,F,195,33.90
Dominic Solanke,BOU,ARS,$4600,F,195,33.90
Harry Wilson,BOU,ARS,$6400,M,195,33.90
Jordan Ayew,CRY,WHU,$5900,F,200,33.33
Danny Ings,SOU,CHE,$6700,F,200,33.33
Ashley Barnes,BUR,EVE,$5100,F,210,32.26
Anwar El Ghazi,AVL,NOR,$6900,M,210,32.26
Luka Milivojevic,CRY,WHU,$6500,M,210,32.26
Callum Robinson,SHU,WAT,$5800,M/F,210,32.26
Chris Wood,BUR,EVE,$5500,F,210,32.26
Ross Barkley,CHE,SOU,$6800,M,220,31.25
Keinan Davis,AVL,NOR,$5200,M/F,220,31.25
Albian Ajeti,WHU,CRY,$4700,F,230,30.30
Billy Sharp,SHU,WAT,$4700,F,230,30.30
Michail Antonio,WHU,CRY,$6200,M/F,240,29.41
Reiss Nelson,ARS,BOU,$6300,M/F,240,29.41
Todd Cantwell,NOR,AVL,$5700,M,250,28.57
N'Golo Kante,CHE,SOU,$5300,M,250,28.57
Conor Hourihane,AVL,NOR,$6700,M,260,27.78
Connor Wickham,CRY,WHU,$3900,F,260,27.78
Alex Iwobi,EVE,BUR,$5600,M/F,270,27.03
Bukayo Saka,ARS,BOU,$5600,M/F,280,26.32
Junior Stanislas,BOU,ARS,$5500,M,280,26.32
Andriy Yarmolenko,WHU,CRY,$5700,F,280,26.32
Troy Deeney,WAT,SHU,$5600,F,290,25.64
Gerard Deulofeu,WAT,SHU,$6800,F,290,25.64
Ryan Fraser,BOU,ARS,$7300,M,290,25.64
Andre Gray,WAT,SHU,$4200,F,290,25.64
Onel Hernandez,NOR,AVL,$5300,M,290,25.64
Jota,AVL,NOR,$4700,M/F,290,25.64
John Fleck,SHU,WAT,$7200,M,300,25.00
Jorginho,CHE,SOU,$4800,M,310,24.39
Mesut Ozil,ARS,BOU,$7000,M,310,24.39
Jay Rodriguez,BUR,EVE,$4800,M/F,320,23.81
Shane Long,SOU,CHE,$5000,F,330,23.26
Granit Xhaka,ARS,BOU,$4300,M,330,23.26
Henri Lansbury,AVL,NOR,$4700,M,340,22.73
John Lundstram,SHU,WAT,$5700,M,350,22.22
Douglas Luiz,AVL,NOR,$4500,M,350,22.22
