,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Pierre-Emerick Aubameyang,ARS,SOU,$7900,F,-200,66.67
Alexandre Lacazette,ARS,SOU,$7700,F,-150,60.00
Mohamed Salah,LIV,CRY,$9800,M/F,-125,55.56
Sadio Mane,LIV,CRY,$10000,M/F,100,50.00
Gabriel Martinelli,ARS,SOU,$6900,M/F,100,50.00
Moise Kean,EVE,NOR,$4400,F,105,48.78
Jamie Vardy,LEI,BHA,$10800,F,105,48.78
Divock Origi,LIV,CRY,$8000,F,110,47.62
Nicolas Pepe,ARS,SOU,$7300,F,110,47.62
Richarlison,EVE,NOR,$6300,M/F,120,45.45
Cenk Tosun,EVE,NOR,$4700,F,120,45.45
Roberto Firmino,LIV,CRY,$8500,M/F,125,44.44
Dominic Calvert-Lewin,EVE,NOR,$4500,F,130,43.48
Anthony Gordon,EVE,NOR,$3600,M,130,43.48
Kelechi Iheanacho,LEI,BHA,$8100,F,137,42.19
Troy Deeney,WAT,BUR,$5300,F,140,41.67
Gylfi Sigurdsson,EVE,NOR,$5800,M/F,150,40.00
Raul Jimenez,WLV,BOU,$7800,F,162,38.17
Theo Walcott,EVE,NOR,$4600,M/F,162,38.17
Callum Wilson,BOU,WLV,$4700,F,162,38.17
Ashley Barnes,BUR,WAT,$6000,F,175,36.36
Sam Dalby,WAT,BUR,,,175,36.36
Andre Gray,WAT,BUR,$4800,F,175,36.36
Chris Wood,BUR,WAT,$6600,F,175,36.36
Glenn Murray,BHA,LEI,$4800,F,187,34.84
Arnaut Danjuma Groeneveld,BOU,WLV,$3700,F,200,33.33
Pedro Neto,WLV,BOU,$5600,F,200,33.33
Ismaila Sarr,WAT,BUR,$5700,M/F,200,33.33
Dominic Solanke,BOU,WLV,$3800,F,200,33.33
Alex Iwobi,EVE,NOR,$4900,M/F,210,32.26
James Maddison,LEI,BHA,$10300,M,210,32.26
Neal Maupay,BHA,LEI,$7200,F,210,32.26
Reiss Nelson,ARS,SOU,$5400,M/F,210,32.26
Patrick Cutrone,WLV,BOU,$6300,F,220,31.25
Gerard Deulofeu,WAT,BUR,$6600,F,220,31.25
Lewis Richardson,BUR,WAT,$3100,M,220,31.25
Bukayo Saka,ARS,SOU,$6100,M/F,220,31.25
Isaac Success,WAT,BUR,$3900,F,220,31.25
Teemu Pukki,NOR,EVE,$5400,F,225,30.77
Morgan Gibbs-White,WLV,BOU,$3000,M,240,29.41
Diogo Jota,WLV,BOU,$7000,M/F,240,29.41
Joshua King,BOU,WLV,$4500,F,240,29.41
Jay Rodriguez,BUR,WAT,$5200,M/F,240,29.41
Matej Vydra,BUR,WAT,$4600,F,240,29.41
Alex Oxlade-Chamberlain,LIV,CRY,$6500,M/F,250,28.57
Aaron Connolly,BHA,LEI,,,260,27.78
Danny Ings,SOU,ARS,$8500,F,260,27.78
Mesut Ozil,ARS,SOU,$6800,M,260,27.78
Ayoze Perez,LEI,BHA,$7700,M/F,260,27.78
Emile Smith-Rowe,ARS,SOU,$5600,M,260,27.78
Leandro Trossard,BHA,LEI,$7500,F,260,27.78
Joe Willock,ARS,SOU,$3200,M,260,27.78
Che Adams,SOU,ARS,$5600,F,275,26.67
Demarai Gray,LEI,BHA,$3900,M,275,26.67
Ainsley Maitland-Niles,ARS,SOU,$3900,D,275,26.67
Michael Obafemi,SOU,ARS,$5300,F,275,26.67
Roberto Pereyra,WAT,BUR,$4500,M,275,26.67
Harry Wilson,BOU,WLV,$4900,M,275,26.67
Alireza Jahanbakhsh,BHA,LEI,$4100,M/F,300,25.00
Adam Lallana,LIV,CRY,$4900,M,300,25.00
Shane Long,SOU,ARS,$6300,F,300,25.00
James Milner,LIV,CRY,$5900,M,300,25.00
